Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
Unity-Technologies/UnityCsReference,0,0,0,0,0,0,0,0,0,0.0,126486701,Unity-Technologies/UnityCsReference,https://github.com/Unity-Technologies/UnityCsReference,2018-03-23 13:08:32,C#,,8524,1863,8524,3,36,Unity-Technologies/UnityCsReference,1.0,0.0,2.0,0.0,145.0,0.0,0.0,0.0,2.0,14.0,16.0,0.0,145.0,Unity-Technologies/UnityCsReference,2018-03-23 13:08:32,1477,0.0,0.0006770480704129,0.0,0.0013540961408259,0.0981719702098849,0.0,0
SignalR/SignalR,2,0,0,0,0,3,6,1,1,1.0,2087064,SignalR/SignalR,https://github.com/SignalR/SignalR,2011-07-22 03:52:19,C#,,8508,2283,8508,22,37,SignalR/SignalR,111.0,0.0,2.0,0.0,4723.0,27.0,3563.0,3590.0,1.0,1025.0,1026.0,0.0,45.0,SignalR/SignalR,2011-07-22 03:52:19,3913,0.0,0.0283669818553539,0.0,0.0005111167901865,1.207002300025556,0.0,1
ppy/osu,9,5,0,0,0,9,20,2,8,3.0,22456440,ppy/osu,https://github.com/ppy/osu,2014-07-31 04:26:30,C#,,8485,1423,8485,878,38,ppy/osu,370.0,143536.0,30.0,329.0,49559.0,764.0,5911.0,6675.0,51.0,8468.0,8519.0,0.0,110.0,ppy/osu,2014-07-31 04:26:30,2808,51.11680911680912,0.1317663817663817,0.1171652421652421,0.0106837606837606,17.649216524216524,10.966666666666669,1
cefsharp/CefSharp,36,20,0,0,0,53,86,2,9,0.0,1135454,cefsharp/CefSharp,https://github.com/cefsharp/CefSharp,2010-12-03 15:23:23,C#,,8410,2719,8410,38,39,cefsharp/CefSharp,205.0,0.0,2.0,0.0,6049.0,36.0,2545.0,2581.0,2.0,818.0,820.0,2.0,175.0,cefsharp/CefSharp,2010-12-03 15:23:23,4144,0.0,0.0494691119691119,0.0,0.0004826254826254,1.4597007722007722,0.0,1
IdentityServer/IdentityServer4,12,3,0,0,0,11,30,0,1,0.0,46652227,IdentityServer/IdentityServer4,https://github.com/IdentityServer/IdentityServer4,2015-11-22 08:21:58,C#,,8405,3256,8405,58,40,IdentityServer/IdentityServer4,292.0,0.0,2.0,0.0,3270.0,49.0,4445.0,4494.0,7.0,917.0,924.0,0.0,78.0,IdentityServer/IdentityServer4,2015-11-22 08:21:58,2329,0.0,0.1253756977243452,0.0,0.0008587376556462,1.404036066981537,0.0,1
AutoMapper/AutoMapper,6,4,0,0,0,7,16,0,0,3.0,505380,AutoMapper/AutoMapper,https://github.com/AutoMapper/AutoMapper,2010-02-06 15:17:58,C#,,8384,1642,8384,2,41,AutoMapper/AutoMapper,193.0,0.0,2.0,0.0,3904.0,0.0,2750.0,2750.0,3.0,984.0,987.0,0.0,37.0,AutoMapper/AutoMapper,2010-02-06 15:17:58,4444,0.0,0.0434293429342934,0.0,0.0004500450045004,0.8784878487848785,0.0,1
restsharp/RestSharp,0,18,0,0,0,2,17,0,0,0.0,374228,restsharp/RestSharp,https://github.com/restsharp/RestSharp,2009-11-16 02:01:45,C#,,8134,2175,8134,19,42,restsharp/RestSharp,300.0,0.0,2.0,0.0,2004.0,18.0,1151.0,1169.0,8.0,599.0,607.0,3.0,20.0,restsharp/RestSharp,2009-11-16 02:01:45,4526,0.0,0.066283694211224,0.0,0.0004418912947414,0.4427750773309766,0.0,1
felixse/FluentTerminal,44,10,0,0,0,6,13,0,2,1.0,118322286,felixse/FluentTerminal,https://github.com/felixse/FluentTerminal,2018-01-21 09:45:11,C#,,8112,418,8112,227,43,felixse/FluentTerminal,63.0,135108.0,30.0,39.0,650.0,233.0,460.0,693.0,1.0,288.0,289.0,1.0,50.0,felixse/FluentTerminal,2018-01-21 09:45:11,1538,87.84655396618986,0.0409622886866059,0.0253576072821846,0.0195058517555266,0.4226267880364109,1.3,1
dotnet/csharplang,16,1,0,0,0,14,16,1,0,0.0,75990888,dotnet/csharplang,https://github.com/dotnet/csharplang,2016-12-09 01:45:27,C#,,8056,852,8056,443,44,dotnet/csharplang,142.0,0.0,2.0,0.0,1826.0,424.0,1559.0,1983.0,23.0,729.0,752.0,1.0,15.0,dotnet/csharplang,2016-12-09 01:45:27,1946,0.0,0.0729701952723535,0.0,0.001027749229188,0.9383350462487152,0.0,1
dotnet/orleans,13,6,0,0,0,5,31,2,7,6.0,28232663,dotnet/orleans,https://github.com/dotnet/orleans,2014-12-19 14:32:50,C#,,8054,1760,8054,534,45,dotnet/orleans,335.0,0.0,2.0,0.0,5203.0,305.0,2914.0,3219.0,22.0,4319.0,4341.0,5.0,89.0,dotnet/orleans,2014-12-19 14:32:50,2667,0.0,0.1256092988376453,0.0,0.0007499062617172,1.9508811398575177,0.0,1
MahApps/MahApps.Metro,34,12,1,0,0,39,61,3,0,0.0,2584777,MahApps/MahApps.Metro,https://github.com/MahApps/MahApps.Metro,2011-10-16 04:16:10,C#,,7996,2356,7996,82,46,MahApps/MahApps.Metro,216.0,5892.0,30.0,85.0,6122.0,65.0,2713.0,2778.0,7.0,1369.0,1376.0,3.0,95.0,MahApps/MahApps.Metro,2011-10-16 04:16:10,3827,1.5395871439770057,0.0564410765612751,0.0222106088319832,0.0078390384112882,1.5996864384635483,2.833333333333333,1
MonoGame/MonoGame,41,5,0,0,0,3,19,0,2,0.0,1579990,MonoGame/MonoGame,https://github.com/MonoGame/MonoGame,2011-04-07 00:23:40,C#,,7982,2518,7982,770,47,MonoGame/MonoGame,430.0,21049.0,17.0,55.0,12883.0,685.0,2707.0,3392.0,104.0,4091.0,4195.0,2.0,69.0,MonoGame/MonoGame,2011-04-07 00:23:40,4019,5.237372480716596,0.1069917890022393,0.0136849962677282,0.0042299079372978,3.205523762129883,3.235294117647059,1
chocolatey/choco,55,11,4,0,0,9,28,1,13,3.0,28647218,chocolatey/choco,https://github.com/chocolatey/choco,2014-12-30 22:12:11,C#,,7874,785,7874,800,48,chocolatey/choco,116.0,147.0,2.0,4.0,3416.0,759.0,1355.0,2114.0,65.0,361.0,426.0,37.0,68.0,chocolatey/choco,2014-12-30 22:12:11,2656,0.0553463855421686,0.0436746987951807,0.0015060240963855,0.0007530120481927,1.286144578313253,2.0,1
dotnet/machinelearning,9,9,0,1,0,4,28,1,0,4.0,132021166,dotnet/machinelearning,https://github.com/dotnet/machinelearning,2018-05-03 16:20:42,C#,,7734,1697,7734,605,49,dotnet/machinelearning,198.0,0.0,2.0,0.0,2543.0,640.0,2570.0,3210.0,9.0,2840.0,2849.0,3.0,63.0,dotnet/machinelearning,2018-05-03 16:20:42,1436,0.0,0.1378830083565459,0.0,0.0013927576601671,1.7708913649025069,0.0,1
dotnet/runtime,19,4,0,0,0,9,24,1,2,0.0,210716005,dotnet/runtime,https://github.com/dotnet/runtime,2019-09-24 23:36:39,C#,,7646,2556,7646,7576,50,dotnet/runtime,2529.0,0.0,2.0,0.0,116183.0,7841.0,38541.0,46382.0,219.0,18636.0,18855.0,2.0,25.0,dotnet/runtime,2019-09-24 23:36:39,927,0.0,2.7281553398058254,0.0,0.0021574973031283,125.33225458468176,0.0,1
JustArchiNET/ArchiSteamFarm,13,25,0,0,0,18,30,0,0,0.0,44897462,JustArchiNET/ArchiSteamFarm,https://github.com/JustArchiNET/ArchiSteamFarm,2015-10-25 05:12:33,C#,,7172,854,7172,2,51,JustArchiNET/ArchiSteamFarm,47.0,2941.0,30.0,298.0,9862.0,0.0,1101.0,1101.0,0.0,1327.0,1327.0,1.0,115.0,JustArchiNET/ArchiSteamFarm,2015-10-25 05:12:33,2357,1.2477725922783198,0.0199406024607551,0.1264319049639372,0.0127280441238862,4.1841323716588885,9.933333333333334,1
