Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
h2o/h2o,0,2,0,0,0,2,6,0,0,0.0,23029617,h2o/h2o,https://github.com/h2o/h2o,2014-08-16 23:59:03,C,,9670,758,9670,618,77,h2o/h2o,h2o/h2o,86,1628,1714,148,0,30,0,10025,539,688,1227,1,94,2014-08-16 23:59:03,2758,0.0,0.0536620739666424,0.0,0.0108774474256707,3.6348803480783176,0.0,0
koekeishiya/yabai,3,2,0,0,0,3,4,0,0,0.0,184909163,koekeishiya/yabai,https://github.com/koekeishiya/yabai,2019-05-04 15:00:50,C,,9597,346,9597,163,85,koekeishiya/yabai,koekeishiya/yabai,6,47,53,4,78149,30,30,1087,201,803,1004,3,33,2019-05-04 15:00:50,1036,75.43339768339769,0.0038610038610038,0.0289575289575289,0.0289575289575289,1.0492277992277992,1.0,1
SpacehuhnTech/esp8266_deauther,16,2,0,0,0,17,25,0,1,0.0,78281075,SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,2017-01-07 13:39:23,C,,9261,2020,9261,67,62,SpacehuhnTech/esp8266_deauther,SpacehuhnTech/esp8266_deauther,3,125,128,60,318803,18,257,769,80,758,838,0,115,2017-01-07 13:39:23,1883,169.30589484864578,0.0318640467339352,0.1364843335103558,0.0095592140201805,0.4083908656399362,14.27777777777778,0
Tencent/wcdb,55,5,0,0,0,5,7,0,43,10.0,90961634,Tencent/wcdb,https://github.com/Tencent/wcdb,2017-05-11 09:25:03,C,,9250,1224,9250,219,74,Tencent/wcdb,Tencent/wcdb,3,34,37,22,267,12,40,1070,224,589,813,1,44,2017-05-11 09:25:03,1759,0.1517907902217168,0.0125071063104036,0.0227401932916429,0.0068220579874928,0.6083001705514497,3.333333333333333,1
haiwen/seafile,39,1,0,0,0,4,10,0,0,0.0,4999959,haiwen/seafile,https://github.com/haiwen/seafile,2012-07-12 06:47:55,C,,9169,1367,9169,141,73,haiwen/seafile,haiwen/seafile,6,0,6,87,0,30,0,2238,154,1929,2083,1,53,2012-07-12 06:47:55,3523,0.0,0.0246948623332387,0.0,0.0085154697700823,0.6352540448481407,0.0,0
fogleman/Craft,31,2,0,0,0,0,5,0,1,2.0,9330072,fogleman/Craft,https://github.com/fogleman/Craft,2013-04-09 19:47:38,C,,8945,1176,8945,110,82,fogleman/Craft,fogleman/Craft,39,88,127,18,0,1,0,753,72,78,150,0,46,2013-04-09 19:47:38,3252,0.0,0.0055350553505535,0.0,0.0003075030750307,0.2315498154981549,0.0,1
HandBrake/HandBrake,0,2,0,1,0,3,9,0,0,0.0,41215835,HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,2015-08-22 16:32:28,C,,8917,863,8917,247,86,HandBrake/HandBrake,HandBrake/HandBrake,20,0,20,118,268917,30,405,11190,246,3130,3376,0,20,2015-08-22 16:32:28,2387,112.6589861751152,0.0494344365312107,0.1696690406367825,0.0125680770842061,4.687892752408882,13.5,0
systemd/systemd,0,15,0,0,0,2,18,0,0,0.0,32873313,systemd/systemd,https://github.com/systemd/systemd,2015-03-25 15:27:27,C,,8761,2768,8761,1689,59,systemd/systemd,systemd/systemd,184,0,184,2288,0,30,0,56564,1572,6941,8513,4,45,2015-03-25 15:27:27,2537,0.0,0.9018525817895152,0.0,0.0118249901458415,22.29562475364604,0.0,0
acidanthera/OpenCorePkg,37,2,0,0,0,14,22,2,1,0.0,179354282,acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,2019-04-03 19:14:29,C,,8636,1521,8636,4,79,acidanthera/OpenCorePkg,acidanthera/OpenCorePkg,1,319,320,81,359568,30,62,4060,0,0,0,0,31,2019-04-03 19:14:29,1067,336.9896907216495,0.0759137769447047,0.0581068416119962,0.0281162136832239,3.805060918462981,2.066666666666667,0
SoftEtherVPN/SoftEtherVPN,46,6,0,0,0,3,13,0,0,6.0,15583310,SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,2014-01-02 12:40:57,C,,8505,2132,8505,220,76,SoftEtherVPN/SoftEtherVPN,SoftEtherVPN/SoftEtherVPN,8,646,654,113,219036,19,116,1648,189,670,859,0,38,2014-01-02 12:40:57,2984,73.40348525469169,0.0378686327077747,0.0388739946380697,0.006367292225201,0.5522788203753352,6.105263157894737,0
