fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
openresty/lua-nginx-module,1,1,0,1,1,1,1,0,0,9670,9670,1901,55,openresty/lua-nginx-module,openresty/lua-nginx-module,61,0,61,144,0,0,0,3731,237,958,1195,1,805,483.0,114.0,122.0,129.0,122.0,110.0,1
koekeishiya/yabai,0,1,0,1,0,1,1,0,0,9597,9597,346,85,koekeishiya/yabai,koekeishiya/yabai,6,47,53,4,78149,30,30,1087,201,803,1004,3,33,441.0,98.0,121.0,91.0,121.0,108.0,0
apple/darwin-xnu,0,1,0,1,1,0,1,0,0,9466,9466,1466,68,apple/darwin-xnu,apple/darwin-xnu,1,28,29,1,0,0,0,123,0,0,0,0,9,458.0,103.0,120.0,121.0,120.0,97.0,1
postgres/postgres,0,1,0,1,0,0,0,0,0,9272,9272,3037,49,postgres/postgres,postgres/postgres,1,77,78,53,0,0,0,53143,0,0,0,0,42,502.0,123.0,119.0,153.0,119.0,111.0,1
SpacehuhnTech/esp8266_deauther,0,1,0,1,1,1,1,0,0,9261,9261,2020,62,SpacehuhnTech/esp8266_deauther,SpacehuhnTech/esp8266_deauther,3,125,128,60,318803,18,257,769,80,758,838,0,115,488.0,116.0,118.0,131.0,118.0,121.0,1
Tencent/wcdb,1,1,0,1,0,0,1,1,0,9250,9250,1224,74,Tencent/wcdb,Tencent/wcdb,3,34,37,22,267,12,40,1070,224,589,813,1,44,450.0,100.0,117.0,116.0,117.0,100.0,1
phpredis/phpredis,1,1,0,1,0,1,1,0,1,9183,9183,2088,64,phpredis/phpredis,phpredis/phpredis,17,615,632,176,0,0,0,2708,130,1308,1438,10,377,519.0,137.0,116.0,134.0,116.0,153.0,1
haiwen/seafile,1,1,0,1,0,1,1,1,0,9169,9169,1367,73,haiwen/seafile,haiwen/seafile,6,0,6,87,0,30,0,2238,154,1929,2083,1,53,417.0,93.0,115.0,120.0,115.0,67.0,0
webview/webview,1,1,0,1,0,1,1,0,1,9155,9155,719,87,webview/webview,webview/webview,12,138,150,58,0,0,0,379,229,304,533,0,67,454.0,101.0,114.0,101.0,114.0,125.0,1
fogleman/Craft,1,1,0,1,0,0,1,0,0,8945,8945,1176,82,fogleman/Craft,fogleman/Craft,39,88,127,18,0,1,0,753,72,78,150,0,46,459.0,104.0,113.0,113.0,113.0,120.0,1
