fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
OrchardCMS/OrchardCore,0,1,0,1,1,1,1,0,0,5558,5558,1884,91,OrchardCMS/OrchardCore,241.0,0.0,2.0,0.0,5875.0,1069.0,4320.0,5389.0,115.0,4862.0,4977.0,1.0,97.0,505.0,124.0,94.0,146.0,94.0,171.0,1
JasonStein/Notepads,1,1,0,1,1,0,1,1,0,5524,5524,326,92,JasonStein/Notepads,61.0,43821.0,30.0,88.0,984.0,227.0,315.0,542.0,33.0,446.0,479.0,0.0,130.0,397.0,90.0,93.0,86.0,93.0,125.0,0
reactiveui/refit,1,1,0,1,0,0,1,0,0,5520,5520,587,93,reactiveui/refit,131.0,282.0,30.0,79.0,1595.0,104.0,664.0,768.0,14.0,541.0,555.0,6.0,130.0,404.0,93.0,92.0,93.0,92.0,127.0,0
neuecc/UniRx,0,1,0,1,0,1,1,1,1,5477,5477,756,94,neuecc/UniRx,42.0,12734.0,25.0,33.0,1024.0,183.0,208.0,391.0,42.0,79.0,121.0,2.0,103.0,389.0,88.0,91.0,102.0,91.0,105.0,0
xamarin/Xamarin.Forms,1,1,0,1,1,0,1,1,0,5472,5472,1905,95,xamarin/Xamarin.Forms,375.0,547.0,30.0,296.0,5725.0,2825.0,6694.0,9519.0,99.0,5217.0,5316.0,4.0,56.0,500.0,122.0,90.0,147.0,90.0,173.0,1
dotnet/wpf,0,1,0,1,0,1,1,1,0,5469,5469,795,96,dotnet/wpf,128.0,0.0,2.0,0.0,3917.0,913.0,951.0,1864.0,95.0,4209.0,4304.0,0.0,33.0,451.0,105.0,89.0,105.0,89.0,168.0,1
de4dot/de4dot,1,1,0,1,0,0,1,0,0,5442,5442,2046,97,de4dot/de4dot,26.0,0.0,2.0,0.0,2090.0,0.0,0.0,0.0,1.0,46.0,47.0,0.0,19.0,411.0,94.0,88.0,148.0,88.0,87.0,0
sschmid/Entitas-CSharp,1,1,0,1,0,1,1,0,0,5374,5374,983,98,sschmid/Entitas-CSharp,28.0,14922.0,30.0,42.0,2066.0,174.0,698.0,872.0,11.0,108.0,119.0,1.0,124.0,397.0,90.0,87.0,119.0,87.0,104.0,0
HMBSbige/ShadowsocksR-Windows,1,1,0,1,1,1,1,0,1,5308,5308,971,99,HMBSbige/ShadowsocksR-Windows,40.0,135175.0,30.0,105.0,1409.0,0.0,0.0,0.0,5.0,145.0,150.0,0.0,75.0,398.0,92.0,86.0,118.0,86.0,108.0,0
emersonsoares/cep-api,1,1,0,1,0,0,0,1,0,99,99,46,198,emersonsoares/cep-api,5.0,0.0,2.0,0.0,54.0,3.0,6.0,9.0,0.0,4.0,4.0,0.0,9.0,296.0,79.0,85.0,78.0,85.0,48.0,0
