fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
gorilla/websocket,1,1,0,1,0,0,1,0,0,15949,15949,2650,74,gorilla/websocket,81.0,0.0,2.0,0.0,306.0,24.0,511.0,535.0,9.0,210.0,219.0,1.0,21.0,494.0,120.0,119.0,145.0,119.0,111.0,1
quii/learn-go-with-tests,1,1,0,1,0,1,1,1,0,15917,15917,2051,75,quii/learn-go-with-tests,175.0,11020.0,30.0,37.0,1150.0,16.0,140.0,156.0,4.0,372.0,376.0,1.0,71.0,491.0,118.0,118.0,136.0,118.0,119.0,1
joewalnes/websocketd,1,1,0,1,0,0,1,0,0,15793,15793,939,76,joewalnes/websocketd,54.0,499.0,7.0,116.0,317.0,31.0,276.0,307.0,1.0,107.0,108.0,0.0,36.0,438.0,101.0,117.0,104.0,117.0,100.0,1
go-kratos/kratos,1,1,0,1,0,1,1,1,0,15655,15655,3122,77,go-kratos/kratos,200.0,0.0,2.0,0.0,1341.0,41.0,688.0,729.0,9.0,1110.0,1119.0,1.0,86.0,534.0,131.0,116.0,154.0,116.0,148.0,1
matryer/xbar,0,1,0,1,0,1,1,1,0,15653,15653,614,78,matryer/xbar,86.0,23187.0,30.0,63.0,1031.0,99.0,503.0,602.0,1.0,217.0,218.0,7.0,173.0,435.0,99.0,115.0,95.0,115.0,110.0,0
gorilla/mux,0,0,0,1,0,1,1,0,0,15558,15558,1451,79,gorilla/mux,102.0,0.0,2.0,0.0,290.0,26.0,365.0,391.0,11.0,261.0,272.0,7.0,45.0,460.0,109.0,114.0,119.0,114.0,113.0,1
gocolly/colly,1,1,0,1,0,1,1,1,0,15437,15437,1319,80,gocolly/colly,112.0,0.0,2.0,0.0,618.0,119.0,350.0,469.0,24.0,193.0,217.0,3.0,48.0,452.0,105.0,113.0,117.0,113.0,109.0,1
helm/charts,1,0,0,1,1,0,1,1,0,15310,15310,17051,81,helm/charts,3688.0,0.0,2.0,0.0,13769.0,0.0,6324.0,6324.0,0.0,18202.0,18202.0,0.0,45.0,599.0,156.0,112.0,189.0,112.0,186.0,1
restic/restic,0,1,0,1,0,1,1,0,0,14981,14981,1022,82,restic/restic,330.0,18552.0,30.0,468.0,5745.0,391.0,1654.0,2045.0,77.0,1531.0,1608.0,2.0,69.0,481.0,114.0,111.0,106.0,111.0,153.0,1
grpc/grpc-go,1,1,0,1,0,0,1,0,0,14970,14970,3301,83,grpc/grpc-go,349.0,930.0,30.0,15.0,4091.0,114.0,1767.0,1881.0,9.0,3331.0,3340.0,1.0,56.0,543.0,135.0,110.0,158.0,110.0,165.0,1
