fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
homebridge/homebridge,0,1,0,1,0,1,1,0,0,18973,18973,1846,65,homebridge/homebridge,121.0,0.0,2.0,0.0,1421.0,15.0,2687.0,2702.0,3.0,361.0,364.0,4.0,108.0,503.0,123.0,131.0,132.0,131.0,109.0,1
notable/notable,0,1,0,1,0,1,1,1,0,18793,18793,942,66,notable/notable,21.0,6412.0,19.0,300.0,458.0,615.0,883.0,1498.0,1.0,73.0,74.0,4.0,28.0,459.0,107.0,130.0,110.0,130.0,89.0,1
youzan/vant,1,1,0,1,0,1,1,1,0,18783,18783,9119,67,youzan/vant,246.0,0.0,2.0,0.0,8657.0,26.0,5994.0,6020.0,4.0,4181.0,4185.0,0.0,134.0,615.0,162.0,129.0,183.0,129.0,174.0,1
electron-react-boilerplate/electron-react-boilerplate,1,1,0,1,0,1,1,0,0,18663,18663,3071,68,electron-react-boilerplate/electron-react-boilerplate,130.0,11148.0,30.0,262.0,1044.0,30.0,1570.0,1600.0,4.0,1477.0,1481.0,3.0,148.0,552.0,138.0,128.0,156.0,128.0,140.0,1
marmelab/react-admin,0,1,0,1,1,1,1,1,0,18423,18423,4045,69,marmelab/react-admin,552.0,0.0,2.0,0.0,11320.0,86.0,3393.0,3479.0,27.0,3864.0,3891.0,4.0,132.0,589.0,153.0,127.0,162.0,127.0,173.0,1
reduxjs/reselect,1,1,0,1,0,1,1,0,0,18364,18364,668,70,reduxjs/reselect,103.0,0.0,2.0,0.0,705.0,14.0,347.0,361.0,5.0,193.0,198.0,3.0,198.0,454.0,106.0,126.0,101.0,126.0,101.0,1
palantir/blueprint,1,1,0,1,1,1,1,1,0,18343,18343,1932,71,palantir/blueprint,320.0,0.0,2.0,0.0,2215.0,635.0,2001.0,2636.0,31.0,2396.0,2427.0,1.0,66.0,543.0,134.0,125.0,137.0,125.0,156.0,1
graphql/graphql-js,0,1,0,1,1,1,1,1,0,18208,18208,1904,72,graphql/graphql-js,202.0,0.0,2.0,0.0,3125.0,134.0,853.0,987.0,59.0,2386.0,2445.0,5.0,56.0,540.0,133.0,124.0,135.0,124.0,157.0,1
statelyai/xstate,1,1,0,1,0,0,1,0,0,18155,18155,831,73,statelyai/xstate,298.0,0.0,2.0,0.0,4660.0,150.0,883.0,1033.0,101.0,1142.0,1243.0,0.0,102.0,489.0,116.0,123.0,108.0,123.0,135.0,1
neoclide/coc.nvim,1,1,0,1,0,1,1,0,0,18137,18137,732,74,neoclide/coc.nvim,210.0,53630.0,30.0,74.0,4548.0,17.0,2580.0,2597.0,2.0,927.0,929.0,4.0,71.0,478.0,112.0,122.0,104.0,122.0,130.0,1
prisma/prisma,1,1,0,1,1,1,1,1,0,17887,17887,641,75,prisma/prisma,165.0,0.0,2.0,0.0,7743.0,1868.0,3901.0,5769.0,36.0,3070.0,3106.0,0.0,126.0,509.0,125.0,121.0,99.0,121.0,168.0,1
wenyan-lang/wenyan,1,0,0,1,0,1,1,1,0,17795,17795,1036,76,wenyan-lang/wenyan,65.0,0.0,2.0,0.0,914.0,171.0,304.0,475.0,6.0,185.0,191.0,0.0,90.0,453.0,105.0,120.0,113.0,120.0,100.0,1
vadimdemedes/ink,1,1,0,1,0,1,1,0,0,17391,17391,469,77,vadimdemedes/ink,93.0,0.0,2.0,0.0,504.0,57.0,212.0,269.0,12.0,214.0,226.0,2.0,195.0,436.0,102.0,118.0,97.0,118.0,103.0,1
recharts/recharts,1,1,0,1,0,1,1,1,0,17391,17391,1325,78,recharts/recharts,243.0,0.0,2.0,0.0,1895.0,323.0,1995.0,2318.0,10.0,455.0,465.0,1.0,40.0,475.0,110.0,118.0,120.0,118.0,119.0,1
apollographql/apollo-client,1,1,0,1,0,1,1,0,0,17019,17019,2243,79,apollographql/apollo-client,746.0,0.0,2.0,0.0,10496.0,505.0,3673.0,4178.0,124.0,4760.0,4884.0,1.0,89.0,559.0,139.0,117.0,147.0,117.0,178.0,1
codex-team/editor.js,1,1,0,1,1,1,1,0,1,16973,16973,1330,80,codex-team/editor.js,33.0,3921.0,26.0,19.0,623.0,335.0,716.0,1051.0,50.0,771.0,821.0,116.0,45.0,481.0,113.0,116.0,121.0,116.0,128.0,1
alibaba/ice,0,1,0,1,0,1,1,1,0,16932,16932,1995,81,alibaba/ice,51.0,0.0,2.0,0.0,1730.0,148.0,2075.0,2223.0,12.0,2924.0,2936.0,2.0,41.0,535.0,130.0,115.0,141.0,115.0,164.0,1
reduxjs/redux-thunk,0,1,0,1,0,1,1,0,0,16818,16818,994,82,reduxjs/redux-thunk,50.0,0.0,2.0,0.0,164.0,0.0,201.0,201.0,0.0,115.0,115.0,0.0,49.0,433.0,101.0,114.0,112.0,114.0,93.0,1
react-dnd/react-dnd,1,0,0,1,0,0,1,0,0,16803,16803,1742,83,react-dnd/react-dnd,212.0,0.0,2.0,0.0,2206.0,283.0,1255.0,1538.0,4.0,1859.0,1863.0,2.0,79.0,503.0,123.0,113.0,129.0,113.0,148.0,1
elastic/kibana,0,0,0,1,1,0,1,1,0,16783,16783,6967,84,elastic/kibana,902.0,0.0,2.0,0.0,50989.0,9146.0,34086.0,43232.0,669.0,83259.0,83928.0,0.0,114.0,594.0,156.0,112.0,176.0,112.0,194.0,1
GeekyAnts/NativeBase,1,1,0,1,1,1,1,1,0,16634,16634,2086,85,GeekyAnts/NativeBase,298.0,0.0,2.0,0.0,5174.0,261.0,2764.0,3025.0,86.0,1587.0,1673.0,0.0,181.0,510.0,126.0,111.0,144.0,111.0,144.0,1
pubkey/rxdb,1,1,0,1,0,1,1,1,0,16622,16622,781,86,pubkey/rxdb,158.0,0.0,2.0,0.0,6775.0,2.0,528.0,530.0,5.0,3130.0,3135.0,2.0,190.0,495.0,120.0,110.0,106.0,110.0,169.0,1
slidevjs/slidev,1,1,0,1,0,1,1,0,0,16571,16571,557,87,slidevjs/slidev,73.0,0.0,2.0,0.0,1067.0,73.0,251.0,324.0,7.0,128.0,135.0,0.0,45.0,411.0,98.0,109.0,98.0,109.0,95.0,0
lensapp/lens,0,0,0,1,0,0,1,1,0,16377,16377,819,88,lensapp/lens,93.0,0.0,2.0,0.0,2261.0,675.0,1673.0,2348.0,39.0,2592.0,2631.0,4.0,28.0,483.0,114.0,108.0,107.0,108.0,160.0,1
refined-github/refined-github,1,1,0,0,1,1,1,1,0,16358,16358,1200,89,refined-github/refined-github,292.0,35.0,30.0,1.0,2932.0,157.0,2696.0,2853.0,15.0,2550.0,2565.0,0.0,537.0,489.0,116.0,107.0,117.0,107.0,158.0,1
basarat/typescript-book,0,1,0,1,0,1,1,0,0,16197,16197,2040,90,basarat/typescript-book,246.0,0.0,2.0,0.0,1612.0,111.0,142.0,253.0,33.0,373.0,406.0,2.0,59.0,470.0,109.0,106.0,143.0,106.0,115.0,1
pmndrs/react-three-fiber,1,1,0,1,0,1,1,1,0,15937,15937,851,91,pmndrs/react-three-fiber,156.0,0.0,2.0,0.0,1966.0,16.0,608.0,624.0,4.0,386.0,390.0,0.0,375.0,431.0,99.0,105.0,109.0,105.0,112.0,0
material-components/material-components-web,1,1,0,1,0,0,0,0,0,15914,15914,2122,92,material-components/material-components-web,459.0,0.0,2.0,0.0,7008.0,345.0,2500.0,2845.0,77.0,4430.0,4507.0,7.0,198.0,529.0,129.0,104.0,145.0,104.0,176.0,1
eclipse-theia/theia,0,1,0,1,1,1,1,1,0,15879,15879,2012,93,eclipse-theia/theia,289.0,0.0,2.0,0.0,5743.0,1329.0,4350.0,5679.0,67.0,4555.0,4622.0,10.0,71.0,525.0,128.0,103.0,142.0,103.0,177.0,1
Redocly/redoc,1,1,0,1,1,1,1,1,0,15825,15825,1756,94,Redocly/redoc,181.0,0.0,2.0,0.0,2342.0,394.0,1057.0,1451.0,47.0,411.0,458.0,8.0,156.0,452.0,104.0,102.0,130.0,102.0,118.0,1
tensorflow/tfjs,0,1,0,1,0,1,1,0,0,15783,15783,1640,95,tensorflow/tfjs,337.0,0.0,2.0,0.0,5155.0,508.0,2808.0,3316.0,144.0,2725.0,2869.0,1.0,38.0,493.0,119.0,101.0,128.0,101.0,163.0,1
ionic-team/ionicons,1,1,0,1,0,1,1,1,0,15763,15763,1960,96,ionic-team/ionicons,47.0,0.0,2.0,0.0,531.0,442.0,451.0,893.0,32.0,123.0,155.0,0.0,37.0,437.0,103.0,100.0,140.0,100.0,97.0,1
BabylonJS/Babylon.js,0,1,0,1,1,0,1,1,0,15378,15378,2605,97,BabylonJS/Babylon.js,562.0,0.0,2.0,0.0,36112.0,71.0,2472.0,2543.0,9.0,9532.0,9541.0,0.0,150.0,535.0,130.0,99.0,152.0,99.0,185.0,1
