fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
webtorrent/webtorrent,1,1,0,1,1,1,1,0,0,25470,25470,2471,63,webtorrent/webtorrent,189.0,0.0,30.0,0.0,3088.0,99.0,1392.0,1491.0,7.0,704.0,711.0,0.0,298.0,494.0,118.0,126.0,114.0,126.0,128.0,1
sentsin/layui,1,1,0,0,0,0,1,0,0,25412,25412,6849,64,sentsin/layui,20.0,2664.0,30.0,8.0,335.0,633.0,125.0,758.0,115.0,100.0,215.0,0.0,49.0,507.0,122.0,125.0,156.0,125.0,101.0,1
request/request,1,0,0,1,1,0,1,0,1,25378,25378,3106,65,request/request,347.0,0.0,0.0,0.0,2270.0,88.0,2130.0,2218.0,29.0,1128.0,1157.0,3.0,282.0,522.0,127.0,124.0,127.0,124.0,147.0,1
sequelize/sequelize,1,1,0,1,0,1,1,0,0,25349,25349,3899,66,sequelize/sequelize,1181.0,0.0,30.0,0.0,9210.0,787.0,8829.0,9616.0,54.0,4403.0,4457.0,4.0,214.0,555.0,142.0,123.0,134.0,123.0,175.0,1
naptha/tesseract.js,1,1,0,1,0,1,1,1,0,25178,25178,1716,67,naptha/tesseract.js,59.0,0.0,30.0,0.0,627.0,105.0,373.0,478.0,19.0,97.0,116.0,0.0,182.0,436.0,97.0,122.0,101.0,122.0,91.0,0
select2/select2,1,1,0,1,0,1,1,1,0,25166,25166,6266,68,select2/select2,551.0,0.0,29.0,0.0,2635.0,64.0,4622.0,4686.0,12.0,1436.0,1448.0,4.0,67.0,547.0,139.0,121.0,152.0,121.0,153.0,1
github/fetch,1,1,0,1,0,0,1,0,0,25095,25095,3096,69,github/fetch,76.0,11658017.0,30.0,5.0,654.0,15.0,570.0,585.0,2.0,286.0,288.0,10.0,77.0,470.0,111.0,120.0,125.0,120.0,105.0,1
typicode/husky,0,0,0,1,0,0,1,0,0,24920,24920,875,70,typicode/husky,91.0,0.0,30.0,0.0,814.0,10.0,800.0,810.0,3.0,295.0,298.0,0.0,193.0,437.0,99.0,119.0,93.0,119.0,106.0,0
GitbookIO/gitbook,0,1,0,1,0,1,1,0,0,24224,24224,3592,71,GitbookIO/gitbook,97.0,0.0,0.0,0.0,2377.0,0.0,0.0,0.0,64.0,315.0,379.0,0.0,125.0,482.0,116.0,118.0,132.0,118.0,114.0,1
codemirror/CodeMirror,0,1,0,1,0,0,1,0,0,23970,23970,4779,72,codemirror/CodeMirror,982.0,0.0,30.0,0.0,7048.0,415.0,3640.0,4055.0,25.0,2763.0,2788.0,1.0,29.0,542.0,135.0,117.0,140.0,117.0,168.0,1
