fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
yiisoft/yii2,0,1,0,1,1,1,1,1,0,13853,13853,6973,21,yiisoft/yii2,1356.0,94532.0,30.0,54.0,19960.0,445.0,10731.0,11176.0,71.0,7612.0,7683.0,8.0,58.0,688.0,178.0,166.0,177.0,166.0,179.0,1
barryvdh/laravel-debugbar,0,1,0,1,0,0,0,0,0,13443,13443,1312,22,barryvdh/laravel-debugbar,179.0,0.0,30.0,0.0,929.0,44.0,862.0,906.0,25.0,364.0,389.0,3.0,79.0,599.0,155.0,165.0,132.0,165.0,137.0,1
getgrav/grav,0,1,0,1,0,1,1,1,1,13053,13053,1325,23,getgrav/grav,231.0,63746.0,30.0,90.0,7314.0,322.0,2484.0,2806.0,24.0,624.0,648.0,2.0,66.0,612.0,158.0,164.0,133.0,164.0,151.0,1
koel/koel,1,1,0,1,0,0,1,0,0,13048,13048,1666,24,koel/koel,62.0,2802.0,30.0,26.0,2036.0,75.0,742.0,817.0,11.0,578.0,589.0,0.0,38.0,619.0,161.0,163.0,146.0,163.0,147.0,1
filp/whoops,1,1,0,1,0,1,1,0,0,12634,12634,583,25,filp/whoops,156.0,0.0,0.0,0.0,1169.0,4.0,336.0,340.0,1.0,375.0,376.0,9.0,132.0,577.0,145.0,162.0,117.0,162.0,136.0,1
CachetHQ/Cachet,1,1,0,1,0,1,1,1,0,12455,12455,1478,26,CachetHQ/Cachet,223.0,0.0,30.0,0.0,7274.0,276.0,2008.0,2284.0,74.0,1921.0,1995.0,4.0,147.0,628.0,165.0,161.0,139.0,161.0,167.0,1
Intervention/image,0,1,0,1,0,1,1,1,0,12256,12256,1379,27,Intervention/image,127.0,0.0,0.0,0.0,741.0,318.0,542.0,860.0,28.0,253.0,281.0,0.0,59.0,581.0,147.0,160.0,136.0,160.0,125.0,1
thephpleague/flysystem,1,1,0,1,0,0,1,0,0,12213,12213,681,29,thephpleague/flysystem,48.0,0.0,15.0,0.0,648.0,20.0,705.0,725.0,6.0,689.0,695.0,0.0,14.0,589.0,152.0,159.0,118.0,159.0,153.0,1
flarum/flarum,0,1,0,0,0,1,1,1,0,12145,12145,1339,30,flarum/flarum,33.0,0.0,17.0,0.0,337.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,9.0,554.0,140.0,158.0,134.0,158.0,104.0,1
barryvdh/laravel-ide-helper,0,1,0,1,0,1,1,0,0,11846,11846,1024,31,barryvdh/laravel-ide-helper,213.0,0.0,30.0,0.0,828.0,94.0,727.0,821.0,41.0,462.0,503.0,4.0,19.0,580.0,146.0,157.0,124.0,157.0,142.0,1
vlucas/phpdotenv,1,1,0,1,1,1,1,0,0,11629,11629,569,32,vlucas/phpdotenv,68.0,0.0,30.0,0.0,567.0,4.0,246.0,250.0,0.0,256.0,256.0,1.0,56.0,550.0,135.0,156.0,116.0,156.0,122.0,1
roots/sage,0,1,0,1,1,1,1,1,0,11498,11498,2973,33,roots/sage,249.0,229.0,30.0,1.0,2455.0,8.0,1275.0,1283.0,5.0,1664.0,1669.0,8.0,185.0,642.0,169.0,155.0,168.0,155.0,164.0,1
PHPOffice/PHPExcel,0,0,0,0,1,1,0,0,0,11476,11476,4147,34,PHPOffice/PHPExcel,75.0,0.0,0.0,0.0,1274.0,562.0,430.0,992.0,106.0,328.0,434.0,4.0,14.0,619.0,161.0,154.0,172.0,154.0,139.0,1
