fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
apache/shardingsphere,1,1,0,1,1,0,1,1,0,14921,14921,5197,77,apache/shardingsphere,467.0,0.0,2.0,0.0,32179.0,378.0,6065.0,6443.0,20.0,9344.0,9364.0,1.0,265.0,546.0,133.0,112.0,138.0,112.0,184.0,1
JeffLi1993/springboot-learning-example,1,0,0,0,0,0,1,0,0,14595,14595,6898,78,JeffLi1993/springboot-learning-example,7.0,0.0,2.0,0.0,167.0,12.0,63.0,75.0,37.0,20.0,57.0,0.0,82.0,479.0,114.0,111.0,157.0,111.0,100.0,1
hdodenhof/CircleImageView,1,1,0,1,1,1,0,0,0,14090,14090,3083,79,hdodenhof/CircleImageView,15.0,0.0,2.0,0.0,159.0,13.0,351.0,364.0,2.0,55.0,57.0,0.0,39.0,433.0,101.0,110.0,113.0,110.0,100.0,1
dyc87112/SpringBoot-Learning,1,0,0,0,0,0,0,0,0,13869,13869,4533,80,dyc87112/SpringBoot-Learning,3.0,0.0,2.0,0.0,495.0,34.0,13.0,47.0,29.0,3.0,32.0,0.0,166.0,441.0,103.0,109.0,129.0,109.0,94.0,1
lgvalle/Material-Animations,1,1,0,1,0,0,1,0,1,13585,13585,2541,81,lgvalle/Material-Animations,10.0,0.0,2.0,0.0,76.0,13.0,27.0,40.0,5.0,19.0,24.0,0.0,21.0,411.0,96.0,108.0,105.0,108.0,90.0,0
alibaba/ARouter,1,1,0,1,0,1,1,0,0,13565,13565,2385,82,alibaba/ARouter,26.0,0.0,2.0,0.0,300.0,68.0,771.0,839.0,9.0,136.0,145.0,0.0,71.0,439.0,102.0,107.0,102.0,107.0,123.0,1
Tencent/QMUI_Android,1,1,0,1,0,0,1,0,0,13309,13309,2539,83,Tencent/QMUI_Android,21.0,0.0,2.0,0.0,942.0,400.0,694.0,1094.0,2.0,37.0,39.0,0.0,12.0,412.0,97.0,106.0,104.0,106.0,96.0,0
material-components/material-components-android,0,1,0,1,0,0,1,1,0,13092,13092,2564,84,material-components/material-components-android,204.0,7865.0,30.0,28.0,4414.0,433.0,1736.0,2169.0,41.0,343.0,384.0,1.0,24.0,454.0,109.0,105.0,106.0,105.0,138.0,1
orhanobut/logger,0,1,0,1,0,1,0,0,0,13072,13072,2069,85,orhanobut/logger,15.0,295.0,16.0,1.0,146.0,62.0,134.0,196.0,11.0,51.0,62.0,0.0,51.0,410.0,95.0,104.0,97.0,104.0,105.0,0
Anuken/Mindustry,1,1,0,1,0,0,1,1,0,13032,13032,1788,86,Anuken/Mindustry,475.0,66801.0,30.0,60.0,12934.0,1.0,2906.0,2907.0,140.0,3454.0,3594.0,2.0,78.0,477.0,113.0,103.0,94.0,103.0,177.0,1
medcl/elasticsearch-analysis-ik,1,1,0,1,1,0,1,0,0,13020,13020,2854,87,medcl/elasticsearch-analysis-ik,39.0,123547.0,30.0,30.0,258.0,319.0,513.0,832.0,15.0,83.0,98.0,6.0,83.0,428.0,99.0,102.0,109.0,102.0,115.0,0
Bigkoo/Android-PickerView,1,1,0,1,1,1,1,0,0,12984,12984,3340,88,Bigkoo/Android-PickerView,23.0,0.0,2.0,0.0,490.0,399.0,528.0,927.0,19.0,58.0,77.0,0.0,159.0,429.0,100.0,101.0,116.0,101.0,111.0,1
iBotPeaches/Apktool,1,1,0,0,0,1,1,0,0,12926,12926,2920,89,iBotPeaches/Apktool,102.0,332782.0,15.0,14.0,1860.0,74.0,2328.0,2402.0,5.0,319.0,324.0,0.0,30.0,445.0,106.0,100.0,111.0,100.0,134.0,1
prestodb/presto,0,1,0,1,1,0,1,0,0,12921,12921,4392,90,prestodb/presto,683.0,0.0,2.0,0.0,19669.0,919.0,3971.0,4890.0,259.0,12200.0,12459.0,0.0,37.0,512.0,122.0,99.0,127.0,99.0,187.0,1
YunaiV/SpringBoot-Labs,1,1,0,0,0,0,1,0,0,12638,12638,4139,91,YunaiV/SpringBoot-Labs,5.0,0.0,2.0,0.0,674.0,21.0,15.0,36.0,6.0,11.0,17.0,0.0,157.0,408.0,94.0,98.0,125.0,98.0,87.0,0
android-hacker/VirtualXposed,1,1,0,1,0,1,1,0,0,12591,12591,2194,92,android-hacker/VirtualXposed,58.0,4075485.0,30.0,52.0,1648.0,94.0,903.0,997.0,4.0,64.0,68.0,0.0,58.0,400.0,92.0,97.0,98.0,97.0,108.0,0
eclipse-vertx/vert.x,0,1,0,1,0,0,1,0,0,12525,12525,1867,93,eclipse-vertx/vert.x,229.0,0.0,2.0,0.0,5270.0,176.0,2161.0,2337.0,67.0,1890.0,1957.0,0.0,20.0,456.0,110.0,96.0,95.0,96.0,169.0,1
Tencent/APIJSON,1,1,0,0,0,1,1,0,0,12483,12483,1598,94,Tencent/APIJSON,49.0,240.0,30.0,11.0,2669.0,132.0,154.0,286.0,8.0,74.0,82.0,1.0,1023.0,395.0,90.0,95.0,93.0,95.0,112.0,0
justauth/JustAuth,1,1,0,0,0,0,1,0,0,12479,12479,2227,95,justauth/JustAuth,34.0,71.0,30.0,14.0,690.0,21.0,52.0,73.0,0.0,63.0,63.0,0.0,197.0,395.0,90.0,94.0,101.0,94.0,106.0,0
greenrobot/greenDAO,0,1,0,1,0,0,1,0,0,12466,12466,2877,96,greenrobot/greenDAO,11.0,0.0,8.0,0.0,883.0,194.0,769.0,963.0,46.0,81.0,127.0,1.0,73.0,417.0,98.0,93.0,110.0,93.0,121.0,0
mockito/mockito,0,1,0,1,1,0,1,0,0,12417,12417,2195,97,mockito/mockito,286.0,0.0,30.0,0.0,5726.0,301.0,1012.0,1313.0,9.0,1263.0,1272.0,2.0,106.0,445.0,106.0,92.0,99.0,92.0,162.0,1
facebook/stetho,0,1,0,1,0,1,1,1,0,12416,12416,1143,98,facebook/stetho,58.0,57158.0,13.0,79.0,588.0,62.0,314.0,376.0,18.0,301.0,319.0,3.0,40.0,405.0,93.0,91.0,91.0,91.0,132.0,0
arduino/Arduino,0,0,0,1,0,1,1,0,0,12266,12266,6938,99,arduino/Arduino,317.0,41388.0,30.0,51.0,7371.0,775.0,9027.0,9802.0,106.0,1367.0,1473.0,1.0,19.0,504.0,118.0,90.0,158.0,90.0,166.0,1
