fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
thoughtbot/factory_bot,0,1,0,1,0,1,1,1,0,7356,7356,2498,54,thoughtbot/factory_bot,268.0,254.0,16.0,16.0,1165.0,21.0,859.0,880.0,9.0,630.0,639.0,4.0,77.0,565.0,144.0,135.0,161.0,135.0,134.0,1
greatghoul/remote-working,1,0,0,0,0,0,1,0,0,7150,7150,714,55,greatghoul/remote-working,47.0,0.0,2.0,0.0,969.0,0.0,30.0,30.0,0.0,257.0,257.0,0.0,608.0,493.0,121.0,134.0,117.0,134.0,108.0,1
realm/jazzy,0,1,0,1,0,1,1,0,0,7068,7068,386,56,realm/jazzy,66.0,0.0,2.0,0.0,1441.0,99.0,744.0,843.0,3.0,448.0,451.0,4.0,77.0,489.0,120.0,133.0,97.0,133.0,126.0,1
puma/puma,1,1,0,1,0,1,1,1,0,6910,6910,1286,57,puma/puma,478.0,0.0,2.0,0.0,3679.0,49.0,1445.0,1494.0,10.0,1319.0,1329.0,9.0,164.0,560.0,143.0,132.0,138.0,132.0,158.0,1
middleman/middleman,0,1,0,1,1,1,1,1,1,6807,6807,735,58,middleman/middleman,239.0,0.0,2.0,0.0,3524.0,11.0,1619.0,1630.0,0.0,882.0,882.0,1.0,54.0,528.0,136.0,131.0,118.0,131.0,148.0,1
skwp/dotfiles,1,1,0,1,0,1,1,0,0,6787,6787,1440,59,skwp/dotfiles,145.0,0.0,2.0,0.0,1246.0,3.0,502.0,505.0,3.0,362.0,365.0,1.0,280.0,524.0,132.0,130.0,146.0,130.0,118.0,1
chef/chef,0,0,0,1,1,1,1,1,0,6749,6749,2549,60,chef/chef,1031.0,0.0,2.0,0.0,31875.0,321.0,3219.0,3540.0,33.0,9051.0,9084.0,0.0,90.0,600.0,153.0,129.0,162.0,129.0,180.0,1
BetterErrors/better_errors,0,1,0,1,0,0,1,1,0,6743,6743,445,61,BetterErrors/better_errors,97.0,24.0,30.0,4.0,730.0,39.0,239.0,278.0,14.0,210.0,224.0,3.0,75.0,458.0,113.0,128.0,99.0,128.0,103.0,1
github-changelog-generator/github-changelog-generator,0,1,0,1,1,1,1,1,0,6622,6622,826,62,github-changelog-generator/github-changelog-generator,109.0,0.0,2.0,0.0,1792.0,136.0,264.0,400.0,3.0,460.0,463.0,3.0,159.0,501.0,125.0,127.0,120.0,127.0,127.0,1
puppetlabs/puppet,1,0,0,1,1,1,1,1,0,6387,6387,2213,63,puppetlabs/puppet,916.0,0.0,2.0,0.0,34042.0,0.0,0.0,0.0,27.0,8810.0,8837.0,0.0,60.0,588.0,149.0,126.0,157.0,126.0,179.0,1
flyerhzm/bullet,1,1,0,1,1,1,1,0,0,6384,6384,373,64,flyerhzm/bullet,156.0,0.0,2.0,0.0,1291.0,84.0,239.0,323.0,22.0,269.0,291.0,4.0,80.0,454.0,111.0,125.0,94.0,125.0,110.0,1
chyingp/nodejs-learning-guide,1,0,0,0,0,0,0,0,0,6371,6371,1130,65,chyingp/nodejs-learning-guide,7.0,0.0,2.0,0.0,400.0,2.0,11.0,13.0,6.0,6.0,12.0,0.0,46.0,451.0,110.0,124.0,133.0,124.0,70.0,1
pry/pry,0,1,0,1,1,1,1,0,0,6338,6338,587,66,pry/pry,220.0,0.0,2.0,0.0,4354.0,151.0,1270.0,1421.0,15.0,781.0,796.0,0.0,51.0,501.0,125.0,123.0,111.0,123.0,144.0,1
ryanb/cancan,0,0,0,1,0,0,1,0,0,6319,6319,812,67,ryanb/cancan,70.0,0.0,2.0,0.0,420.0,200.0,651.0,851.0,45.0,159.0,204.0,12.0,55.0,465.0,114.0,122.0,119.0,122.0,102.0,1
github/scientist,1,1,0,1,0,1,0,0,0,6291,6291,456,68,github/scientist,57.0,0.0,2.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,344.0,89.0,121.0,101.0,121.0,1.0,0
presidentbeef/brakeman,1,1,0,1,0,1,1,0,0,6270,6270,678,69,presidentbeef/brakeman,153.0,0.0,2.0,0.0,3790.0,81.0,609.0,690.0,5.0,990.0,995.0,2.0,80.0,506.0,128.0,120.0,114.0,120.0,152.0,1
wpscanteam/wpscan,1,1,0,1,1,1,1,1,1,6221,6221,1062,70,wpscanteam/wpscan,59.0,0.0,2.0,0.0,3150.0,28.0,1321.0,1349.0,4.0,335.0,339.0,5.0,221.0,483.0,118.0,119.0,131.0,119.0,114.0,1
paper-trail-gem/paper_trail,1,1,0,1,1,1,1,1,0,6181,6181,831,71,paper-trail-gem/paper_trail,249.0,0.0,2.0,0.0,2330.0,4.0,676.0,680.0,0.0,684.0,684.0,3.0,495.0,493.0,121.0,118.0,121.0,118.0,136.0,1
ankane/pghero,1,1,0,1,0,1,1,1,0,6151,6151,368,72,ankane/pghero,34.0,0.0,2.0,0.0,1195.0,4.0,317.0,321.0,4.0,83.0,87.0,2.0,84.0,420.0,99.0,117.0,93.0,117.0,93.0,0
venmo/synx,0,1,0,1,0,1,0,1,0,6073,6073,283,73,venmo/synx,19.0,0.0,2.0,0.0,211.0,53.0,47.0,100.0,7.0,38.0,45.0,0.0,45.0,414.0,96.0,116.0,91.0,116.0,91.0,0
guard/guard,1,1,0,1,0,1,1,1,0,6049,6049,500,74,guard/guard,195.0,0.0,2.0,0.0,2444.0,64.0,511.0,575.0,3.0,395.0,398.0,1.0,343.0,456.0,112.0,115.0,104.0,115.0,122.0,1
