Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
PHPOffice/PhpSpreadsheet,0,7,0,0,0,2,10,0,1,0.0,61490598,PHPOffice/PhpSpreadsheet,https://github.com/PHPOffice/PhpSpreadsheet,2016-06-19 16:58:48,PHP,,10567,2443,10567,186,41,PHPOffice/PhpSpreadsheet,339.0,0.0,30.0,0.0,3136.0,182.0,1209.0,1391.0,26.0,1106.0,1132.0,6.0,36.0,PHPOffice/PhpSpreadsheet,2016-06-19 16:58:48,2119,0.0,0.1599811231713072,0.0,0.0141576215195847,1.4799433695139217,0.0,1.4941009910335064,0
phalcon/cphalcon,18,2,0,0,0,8,29,0,1,0.0,2854337,phalcon/cphalcon,https://github.com/phalcon/cphalcon,2011-11-26 05:52:50,PHP,,10518,1914,10518,48,42,phalcon/cphalcon,360.0,8724.0,30.0,272.0,15766.0,52.0,4696.0,4748.0,3.0,3810.0,3813.0,2.0,88.0,phalcon/cphalcon,2011-11-26 05:52:50,3786,2.304278922345483,0.0950871632329635,0.0718436344426835,0.0079239302694136,4.164289487585843,9.066666666666666,13.238880084521924,0
doctrine/lexer,0,1,0,0,0,1,1,0,0,0.0,7579180,doctrine/lexer,https://github.com/doctrine/lexer,2013-01-12 18:58:26,PHP,,10484,44,10484,3,43,doctrine/lexer,31.0,0.0,7.0,0.0,91.0,2.0,8.0,10.0,2.0,53.0,55.0,0.0,4.0,doctrine/lexer,2013-01-12 18:58:26,3373,0.0,0.0091906314853246,0.0,0.0020753038837829,0.0269789504891787,0.0,0.0290542543729616,1
egulias/EmailValidator,19,3,0,0,0,4,16,0,2,3.0,10157178,egulias/EmailValidator,https://github.com/egulias/EmailValidator,2013-05-19 15:23:00,PHP,,10447,149,10447,16,44,egulias/EmailValidator,67.0,0.0,30.0,0.0,338.0,18.0,149.0,167.0,3.0,147.0,150.0,6.0,54.0,egulias/EmailValidator,2013-05-19 15:23:00,3246,0.0,0.0206407886629698,0.0,0.0092421441774491,0.1041281577325939,0.0,0.113370301910043,1
doctrine/instantiator,0,5,0,0,0,1,7,0,0,2.0,22726901,doctrine/instantiator,https://github.com/doctrine/instantiator,2014-08-07 15:43:55,PHP,,10426,55,10426,5,45,doctrine/instantiator,36.0,0.0,12.0,0.0,369.0,2.0,19.0,21.0,3.0,64.0,67.0,0.0,17.0,doctrine/instantiator,2014-08-07 15:43:55,2801,0.0,0.0128525526597643,0.0,0.0042841842199214,0.1317386647625847,0.0,0.1360228489825061,1
SpartnerNL/Laravel-Excel,4,3,0,0,0,3,16,0,0,0.0,14259390,SpartnerNL/Laravel-Excel,https://github.com/SpartnerNL/Laravel-Excel,2013-11-09 15:28:40,PHP,,10385,1639,10385,6,47,SpartnerNL/Laravel-Excel,178.0,0.0,30.0,0.0,1429.0,8.0,2665.0,2673.0,4.0,458.0,462.0,1.0,229.0,SpartnerNL/Laravel-Excel,2013-11-09 15:28:40,3072,0.0,0.0579427083333333,0.0,0.009765625,0.4651692708333333,0.0,0.4749348958333333,0
tymondesigns/jwt-auth,0,10,0,0,0,2,11,0,2,0.0,23680678,tymondesigns/jwt-auth,https://github.com/tymondesigns/jwt-auth,2014-09-04 21:50:50,PHP,,10282,1396,10282,551,48,tymondesigns/jwt-auth,81.0,0.0,30.0,0.0,1481.0,521.0,1034.0,1555.0,39.0,572.0,611.0,0.0,105.0,tymondesigns/jwt-auth,2014-09-04 21:50:50,2773,0.0,0.0292102416155787,0.0,0.0108186080057699,0.5340786152181752,0.0,0.5448972232239452,0
z-song/laravel-admin,18,14,0,0,0,38,72,0,7,3.0,48796179,z-song/laravel-admin,https://github.com/z-song/laravel-admin,2015-12-30 10:42:57,PHP,,10243,2604,10243,80,49,z-song/laravel-admin,308.0,0.0,30.0,0.0,3140.0,91.0,4015.0,4106.0,20.0,1361.0,1381.0,0.0,61.0,z-song/laravel-admin,2015-12-30 10:42:57,2291,0.0,0.1344391095591444,0.0,0.013094718463553,1.370580532518551,0.0,1.383675250982104,0
mockery/mockery,0,3,0,0,0,1,9,0,27,17.0,137515,mockery/mockery,https://github.com/mockery/mockery,2009-02-25 19:25:09,PHP,,10035,432,10035,91,51,mockery/mockery,219.0,0.0,28.0,0.0,1945.0,85.0,498.0,583.0,10.0,570.0,580.0,0.0,57.0,mockery/mockery,2009-02-25 19:25:09,4790,0.0,0.0457202505219206,0.0,0.0058455114822546,0.406054279749478,0.0,0.4118997912317326,0
spatie/laravel-permission,7,5,0,0,0,8,20,0,2,3.0,42480275,spatie/laravel-permission,https://github.com/spatie/laravel-permission,2015-09-14 22:19:38,PHP,,9986,1501,9986,10,52,spatie/laravel-permission,184.0,0.0,30.0,0.0,1219.0,7.0,1255.0,1262.0,6.0,551.0,557.0,3.0,205.0,spatie/laravel-permission,2015-09-14 22:19:38,2398,0.0,0.0767306088407005,0.0,0.012510425354462,0.5083402835696413,0.0,0.5208507089241033,0
