Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
SoftEtherVPN/SoftEtherVPN,46,6,0,0,0,3,13,0,0,6.0,15583310,SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,2014-01-02 12:40:57,C,,8505,2132,8505,220,76,SoftEtherVPN/SoftEtherVPN,SoftEtherVPN/SoftEtherVPN,8,646,654,113,219036,19,116,1648,189,670,859,0,38,2014-01-02 12:40:57,3018,72.57654075546719,0.0374420145791915,0.0384360503644797,0.0062955599734923,0.5460569913850232,6.105263157894737,6.657615709253252,1
upx/upx,5,0,0,0,0,0,0,0,0,0.0,67031040,upx/upx,https://github.com/upx/upx,2016-08-31 11:23:13,C,,8399,918,8399,128,90,upx/upx,upx/upx,1,0,1,20,729580,7,85,3551,126,364,490,0,43,2016-08-31 11:23:13,2046,356.5884652981427,0.0097751710654936,0.0415444770283479,0.0034213098729227,1.7355816226783969,12.142857142857142,13.881860075408461,1
glfw/glfw,131,3,0,0,0,10,23,0,63,0.0,9524997,glfw/glfw,https://github.com/glfw/glfw,2013-04-18 15:24:53,C,,8360,3228,8360,470,65,glfw/glfw,glfw/glfw,57,473,530,185,422650,17,58,4424,422,1080,1502,26,708,2013-04-18 15:24:53,3277,128.97467195605736,0.0564540738480317,0.0176991150442477,0.0051876716509002,1.3500152578577969,3.411764705882353,4.76696763539105,1
davatorium/rofi,47,9,0,0,0,22,26,0,7,1.0,7715820,davatorium/rofi,https://github.com/davatorium/rofi,2013-01-20 11:54:45,C,,8325,437,8325,67,95,davatorium/rofi,davatorium/rofi,11,297,308,134,34480,30,61,3615,52,1056,1108,3,98,2013-01-20 11:54:45,3365,10.24665676077266,0.0398216939078751,0.0181277860326894,0.0089153046062407,1.074294205052006,2.033333333333333,3.1165428429915796,1
libgit2/libgit2,77,4,0,0,0,16,32,1,39,0.0,901662,libgit2/libgit2,https://github.com/libgit2/libgit2,2010-09-10 16:17:48,C,,8179,2153,8179,433,83,libgit2/libgit2,libgit2/libgit2,113,4150,4263,550,66497,30,10,14483,328,1536,1864,0,159,2010-09-10 16:17:48,4228,15.727767265846737,0.130085146641438,0.0023651844843897,0.0070955534531693,3.4254966887417218,0.3333333333333333,3.7659255755282244,1
libevent/libevent,0,8,0,0,0,7,14,0,0,4.0,1856976,libevent/libevent,https://github.com/libevent/libevent,2011-06-06 21:42:50,C,,8177,2921,8177,133,75,libevent/libevent,libevent/libevent,0,468,468,273,3041140,18,14,4613,119,649,768,3,38,2011-06-06 21:42:50,3959,768.1586259156353,0.0689568072745642,0.0035362465269007,0.0045466026774437,1.165193230613791,0.7777777777777778,1.9475176110690127,1
raysan5/raylib,38,17,1,0,0,36,52,1,1,1.0,13836499,raysan5/raylib,https://github.com/raysan5/raylib,2013-10-24 15:46:04,C,,8084,959,8084,15,93,raysan5/raylib,raysan5/raylib,1,1074,1075,338,7181,19,89,5670,10,1126,1136,0,144,2013-10-24 15:46:04,3088,2.325453367875648,0.1094559585492228,0.028821243523316,0.0061528497409326,1.836139896373057,4.684210526315789,6.526503272429779,1
lvgl/lvgl,49,2,1,0,0,6,38,0,0,2.0,60667730,lvgl/lvgl,https://github.com/lvgl/lvgl,2016-06-08 04:14:34,C,,8047,1599,8047,38,89,lvgl/lvgl,lvgl/lvgl,0,1209,1209,277,150,30,1,7829,35,1881,1916,1,171,2016-06-08 04:14:34,2130,0.0704225352112676,0.1300469483568075,0.0004694835680751,0.0140845070422535,3.675586854460094,0.0333333333333333,3.7230046948356805,1
darlinghq/darling,0,1,0,0,0,1,3,0,6,4.0,7077690,darlinghq/darling,https://github.com/darlinghq/darling,2012-12-09 10:31:44,C,,7922,328,7922,200,98,darlinghq/darling,darlinghq/darling,2,165,167,67,9197,8,16,3690,205,734,939,3,36,2012-12-09 10:31:44,3407,2.6994423246257706,0.0196653947754622,0.0046962136777223,0.0023481068388611,1.0830642794247138,2.0,3.0854123862635747,1
microsoft/react-native-code-push,50,3,0,1,0,14,30,0,46,14.0,36749153,microsoft/react-native-code-push,https://github.com/microsoft/react-native-code-push,2015-06-02 17:19:20,C,,7841,1222,7841,164,94,microsoft/react-native-code-push,microsoft/react-native-code-push,15,730,745,159,0,30,0,1733,43,1443,1486,6,421,2015-06-02 17:19:20,2502,0.0,0.0635491606714628,0.0,0.0119904076738609,0.6926458832933653,0.0,0.7046362909672262,0
