Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
carbon-app/carbon,30,13,0,1,0,91,133,4,18,0.0,94498635,carbon-app/carbon,https://github.com/carbon-app/carbon,2017-06-16 02:50:28,JavaScript,,29206,1629,29206,21,50,carbon-app/carbon,183.0,0.0,30.0,0.0,1764.0,17.0,566.0,583.0,1.0,733.0,734.0,7.0,236.0,carbon-app/carbon,2017-06-16 02:50:28,1757,0.0,0.1041548093340922,0.0,0.0170745589072282,1.00398406374502,0.0,1.021058622652248,1
react-boilerplate/react-boilerplate,17,23,0,1,0,3,32,1,7,0.0,30969188,react-boilerplate/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,2015-02-18 14:36:32,JavaScript,,28118,5960,28118,83,52,react-boilerplate/react-boilerplate,234.0,0.0,16.0,0.0,1457.0,57.0,1813.0,1870.0,36.0,1122.0,1158.0,11.0,119.0,react-boilerplate/react-boilerplate,2015-02-18 14:36:32,2606,0.0,0.0897927858787413,0.0,0.0061396776669224,0.5590943975441289,0.0,0.5652340752110513,1
tastejs/todomvc,0,13,0,0,0,10,13,1,0,0.0,1844251,tastejs/todomvc,https://github.com/tastejs/todomvc,2011-06-03 19:56:33,JavaScript,,27594,13929,27594,184,53,tastejs/todomvc,366.0,0.0,5.0,0.0,2905.0,128.0,628.0,756.0,59.0,1223.0,1282.0,6.0,87.0,tastejs/todomvc,2011-06-03 19:56:33,3962,0.0,0.0923775870772337,0.0,0.0012619888944977,0.7332155477031802,0.0,0.7344775365976779,1
caolan/async,0,8,0,0,0,1,11,0,2,2.0,698041,caolan/async,https://github.com/caolan/async,2010-06-01 21:01:30,JavaScript,,27384,2414,27384,5,54,caolan/async,268.0,0.0,7.0,0.0,1855.0,5.0,1092.0,1097.0,8.0,704.0,712.0,10.0,309.0,caolan/async,2010-06-01 21:01:30,4329,0.0,0.0619080619080619,0.0,0.0016170016170016,0.4285054285054285,0.0,0.4301224301224301,1
kenwheeler/slick,2,0,0,0,0,2,3,0,23,11.5,18049133,kenwheeler/slick,https://github.com/kenwheeler/slick,2014-03-24 02:10:05,JavaScript,,27204,5805,27204,1326,55,kenwheeler/slick,174.0,0.0,30.0,0.0,921.0,1130.0,2358.0,3488.0,209.0,466.0,675.0,5.0,131.0,kenwheeler/slick,2014-03-24 02:10:05,2937,0.0,0.059244126659857,0.0,0.010214504596527,0.313585291113381,0.0,0.323799795709908,1
gorhill/uBlock,13,13,0,0,0,23,40,1,4,0.0,33263118,gorhill/uBlock,https://github.com/gorhill/uBlock,2015-04-01 17:51:11,JavaScript,,27192,2225,27192,35,56,gorhill/uBlock,111.0,75694.0,30.0,103.0,9679.0,35.0,3416.0,3451.0,0.0,325.0,325.0,3.0,371.0,gorhill/uBlock,2015-04-01 17:51:11,2564,29.521840873634947,0.0432917316692667,0.0401716068642745,0.0117004680187207,3.7749609984399375,3.433333333333333,7.219994799791991,1
vuejs/vuex,5,2,0,0,0,10,17,0,1,1.0,39176269,vuejs/vuex,https://github.com/vuejs/vuex,2015-07-16 04:21:26,JavaScript,,27072,9221,27072,92,57,vuejs/vuex,337.0,0.0,30.0,0.0,1199.0,80.0,1131.0,1211.0,39.0,876.0,915.0,0.0,44.0,vuejs/vuex,2015-07-16 04:21:26,2458,0.0,0.1371033360455655,0.0,0.0122050447518307,0.4877949552481692,0.0,0.4999999999999999,1
jgraph/drawio,0,1,0,0,0,3,6,3,0,0.0,67508428,jgraph/drawio,https://github.com/jgraph/drawio,2016-09-06 12:59:15,JavaScript,,26671,5411,26671,268,58,jgraph/drawio,37.0,3113.0,30.0,30.0,1728.0,230.0,2067.0,2297.0,1.0,135.0,136.0,0.0,78.0,jgraph/drawio,2016-09-06 12:59:15,2040,1.5259803921568629,0.0181372549019607,0.0147058823529411,0.0147058823529411,0.8470588235294118,1.0,1.861764705882353,1
markedjs/marked,6,7,0,0,0,2,13,0,2,3.0,2096579,markedjs/marked,https://github.com/markedjs/marked,2011-07-24 13:15:51,JavaScript,,26461,3097,26461,46,59,markedjs/marked,147.0,0.0,30.0,0.0,2681.0,47.0,1175.0,1222.0,2.0,1121.0,1123.0,0.0,141.0,markedjs/marked,2011-07-24 13:15:51,3911,0.0,0.0375862950652007,0.0,0.0076706724622858,0.6855024290462797,0.0,0.6931731015085655,1
atlassian/react-beautiful-dnd,83,10,2,0,0,7,21,0,22,0.0,99761907,atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,2017-08-09 03:37:15,JavaScript,,25693,1938,25693,482,62,atlassian/react-beautiful-dnd,129.0,0.0,30.0,0.0,795.0,446.0,998.0,1444.0,62.0,863.0,925.0,10.0,163.0,atlassian/react-beautiful-dnd,2017-08-09 03:37:15,1703,0.0,0.0757486788021139,0.0,0.017615971814445,0.466823253082795,0.0,0.48443922489724,1
