Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
vnpy/vnpy,33,2,0,0,0,9,15,0,4,4.0,31522041,vnpy/vnpy,https://github.com/vnpy/vnpy,2015-03-02 03:36:58,C++,,16937,6834,16937,9,44,vnpy/vnpy,144.0,0.0,2.0,0.0,6335.0,12.0,1861.0,1873.0,1.0,1344.0,1345.0,1.0,182.0,632.0,166.0,151.0,179.0,151.0,151.0,1
SerenityOS/serenity,89,6,0,0,0,42,50,0,2,0.0,160083795,SerenityOS/serenity,https://github.com/SerenityOS/serenity,2018-12-02 19:28:41,C++,,16704,1720,16704,548,45,SerenityOS/serenity,782.0,0.0,2.0,0.0,35425.0,479.0,2347.0,2826.0,82.0,9998.0,10080.0,0.0,46.0,600.0,150.0,150.0,120.0,150.0,180.0,1
ossrs/srs,56,14,1,1,0,26,43,0,0,2.0,34777562,ossrs/srs,https://github.com/ossrs/srs,2015-04-29 06:59:32,C++,,16576,4195,16576,175,46,ossrs/srs,120.0,2296.0,30.0,45.0,8019.0,174.0,835.0,1009.0,13.0,411.0,424.0,4.0,1861.0,585.0,147.0,149.0,163.0,149.0,124.0,1
Tencent/mars,50,12,0,0,0,30,30,0,3,49.5,76222419,Tencent/mars,https://github.com/Tencent/mars,2016-12-12 04:39:54,C++,,15881,3332,15881,318,47,Tencent/mars,53.0,0.0,2.0,0.0,1515.0,322.0,580.0,902.0,9.0,94.0,103.0,1.0,45.0,555.0,142.0,148.0,151.0,148.0,108.0,1
microsoft/winget-cli,14,2,1,0,0,6,18,2,3,0.5,197275130,microsoft/winget-cli,https://github.com/microsoft/winget-cli,2019-07-16 22:16:49,C++,,15777,789,15777,381,48,microsoft/winget-cli,72.0,169696.0,21.0,37.0,551.0,432.0,651.0,1083.0,14.0,619.0,633.0,0.0,35.0,531.0,131.0,147.0,102.0,147.0,135.0,1
changkun/modern-cpp-tutorial,6,3,0,0,0,2,11,0,0,1.0,66088979,changkun/modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,2016-08-19 14:39:15,C++,,15776,1997,15776,4,49,changkun/modern-cpp-tutorial,66.0,369.0,3.0,4.0,257.0,5.0,97.0,102.0,1.0,118.0,119.0,19.0,45.0,529.0,129.0,146.0,128.0,146.0,109.0,1
sqlitebrowser/sqlitebrowser,52,2,0,0,0,34,43,0,1,1.0,19416551,sqlitebrowser/sqlitebrowser,https://github.com/sqlitebrowser/sqlitebrowser,2014-05-04 01:54:44,C++,,15738,1746,15738,502,50,sqlitebrowser/sqlitebrowser,165.0,1796072.0,30.0,128.0,3698.0,523.0,1904.0,2427.0,7.0,475.0,482.0,5.0,120.0,540.0,135.0,145.0,123.0,145.0,127.0,1
electronicarts/CnC_Remastered_Collection,0,0,0,0,0,0,0,0,0,0.0,251383553,electronicarts/CnC_Remastered_Collection,https://github.com/electronicarts/CnC_Remastered_Collection,2020-03-30 17:48:04,C++,,15732,4257,15732,83,51,electronicarts/CnC_Remastered_Collection,3.0,0.0,2.0,0.0,12.0,73.0,20.0,93.0,11.0,10.0,21.0,0.0,1.0,546.0,138.0,144.0,164.0,144.0,94.0,1
cocos2d/cocos2d-x,66,3,0,0,0,6,22,0,5,3.0,1093228,cocos2d/cocos2d-x,https://github.com/cocos2d/cocos2d-x,2010-11-18 23:17:00,C++,,15679,6993,15679,1566,52,cocos2d/cocos2d-x,855.0,0.0,2.0,0.0,37358.0,1384.0,3532.0,4916.0,193.0,15495.0,15688.0,0.0,100.0,653.0,172.0,143.0,181.0,143.0,186.0,1
ValveSoftware/Proton,0,0,0,0,0,1,1,0,60,10.0,125098880,ValveSoftware/Proton,https://github.com/ValveSoftware/Proton,2018-03-13 18:45:27,C++,,15618,674,15618,3161,53,ValveSoftware/Proton,76.0,0.0,2.0,0.0,1266.0,3291.0,2093.0,5384.0,8.0,146.0,154.0,1.0,95.0,493.0,115.0,142.0,98.0,142.0,111.0,1
