Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
angular/components,20,3,0,1,0,1,7,0,6,0.0,49016322,angular/components,https://github.com/angular/components,2016-01-04 18:50:02,TypeScript,,22334,5931,22334,2077,48,angular/components,648.0,0.0,2.0,0.0,9418.0,1688.0,11296.0,12984.0,252.0,11214.0,11466.0,13.0,91.0,666.0,172.0,150.0,175.0,150.0,191.0,1
doczjs/docz,31,4,0,0,0,18,33,0,12,4.0,125596489,doczjs/docz,https://github.com/doczjs/docz,2018-03-17 04:24:10,TypeScript,,21987,1398,21987,97,49,doczjs/docz,136.0,0.0,2.0,0.0,1604.0,109.0,1122.0,1231.0,8.0,467.0,475.0,3.0,102.0,543.0,132.0,149.0,124.0,149.0,121.0,1
t4t5/sweetalert,21,16,1,0,0,3,33,1,6,10.0,24635156,t4t5/sweetalert,https://github.com/t4t5/sweetalert,2014-09-30 11:12:48,TypeScript,,21857,2899,21857,173,50,t4t5/sweetalert,72.0,0.0,2.0,0.0,361.0,148.0,543.0,691.0,28.0,250.0,278.0,0.0,40.0,560.0,138.0,148.0,157.0,148.0,107.0,1
balena-io/etcher,9,4,0,0,0,2,8,0,1,19.0,45055693,balena-io/etcher,https://github.com/balena-io/etcher,2015-10-27 16:53:23,TypeScript,,21852,1539,21852,317,51,balena-io/etcher,87.0,427933.0,30.0,502.0,2968.0,344.0,1519.0,1863.0,3.0,1841.0,1844.0,9.0,78.0,570.0,144.0,147.0,128.0,147.0,148.0,1
pmndrs/react-spring,0,12,1,1,0,4,16,0,1,0.0,124257233,pmndrs/react-spring,https://github.com/pmndrs/react-spring,2018-03-07 15:39:32,TypeScript,,21845,944,21845,43,52,pmndrs/react-spring,157.0,0.0,2.0,0.0,3234.0,48.0,1007.0,1055.0,5.0,388.0,393.0,0.0,12.0,520.0,129.0,146.0,113.0,146.0,115.0,1
react-native-elements/react-native-elements,29,62,0,0,0,10,108,1,1,1.0,67709808,react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,TypeScript,,21704,4311,21704,112,53,react-native-elements/react-native-elements,370.0,0.0,2.0,0.0,2229.0,58.0,1837.0,1895.0,8.0,1429.0,1437.0,10.0,105.0,597.0,155.0,145.0,167.0,145.0,140.0,1
reduxjs/react-redux,0,3,0,0,0,3,12,0,2,2.0,38934449,reduxjs/react-redux,https://github.com/reduxjs/react-redux,2015-07-11 17:32:01,TypeScript,,21574,3141,21574,35,54,reduxjs/react-redux,275.0,0.0,2.0,0.0,1053.0,17.0,1133.0,1150.0,5.0,676.0,681.0,2.0,100.0,574.0,145.0,144.0,161.0,144.0,125.0,1
vuejs/devtools,0,2,0,0,0,1,4,0,0,0.0,24579238,vuejs/devtools,https://github.com/vuejs/devtools,2014-09-29 03:52:07,TypeScript,,21357,3542,21357,352,55,vuejs/devtools,120.0,55829.0,30.0,18.0,1940.0,350.0,991.0,1341.0,32.0,336.0,368.0,1.0,58.0,560.0,138.0,143.0,162.0,143.0,112.0,1
kriasoft/react-starter-kit,27,9,0,0,0,8,29,2,34,2.0,18840003,kriasoft/react-starter-kit,https://github.com/kriasoft/react-starter-kit,2014-04-16 13:08:18,TypeScript,,21048,4096,21048,6,56,kriasoft/react-starter-kit,1.0,0.0,2.0,0.0,3.0,5.0,1165.0,1170.0,2.0,779.0,781.0,0.0,3.0,577.0,147.0,142.0,166.0,142.0,127.0,1
Eugeny/tabby,60,6,0,0,0,70,82,2,1,0.0,77213120,Eugeny/tabby,https://github.com/Eugeny/tabby,2016-12-23 09:06:10,TypeScript,,20839,1042,20839,586,57,Eugeny/tabby,89.0,245922.0,30.0,388.0,4806.0,811.0,2194.0,3005.0,20.0,2603.0,2623.0,0.0,133.0,559.0,137.0,141.0,116.0,141.0,161.0,1
NativeScript/NativeScript,23,2,0,0,0,11,20,0,0,1.0,31492490,NativeScript/NativeScript,https://github.com/NativeScript/NativeScript,2015-03-01 09:47:08,TypeScript,,20692,1533,20692,905,58,NativeScript/NativeScript,279.0,0.0,2.0,0.0,6886.0,885.0,5513.0,6398.0,23.0,3229.0,3252.0,0.0,92.0,579.0,148.0,140.0,127.0,140.0,172.0,1
