fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
nektos/act,1,1,0,1,1,0,1,1,0,19597,19597,514,52,nektos/act,110.0,15698.0,30.0,204.0,531.0,55.0,543.0,598.0,13.0,407.0,420.0,8.0,103.0,nektos/act,2019-01-02 19:53:43,1192,13.169463087248324,0.0922818791946308,0.1711409395973154,0.0251677852348993,0.4454697986577181,6.8,1
sirupsen/logrus,0,1,0,1,0,0,1,0,0,19364,19364,2053,53,sirupsen/logrus,294.0,0.0,13.0,0.0,1218.0,11.0,604.0,615.0,65.0,633.0,698.0,1.0,269.0,sirupsen/logrus,2013-10-16 19:08:55,3096,0.0,0.0949612403100775,0.0,0.0041989664082687,0.3934108527131782,0.0,1
ehang-io/nps,0,1,0,1,0,1,1,1,0,19349,19349,3422,54,ehang-io/nps,38.0,17852.0,30.0,886.0,700.0,266.0,643.0,909.0,8.0,83.0,91.0,1.0,120.0,ehang-io/nps,2018-11-04 13:22:51,1251,14.270183852917668,0.0303756994404476,0.7082334132693845,0.0239808153477218,0.5595523581135092,29.53333333333333,1
tsenart/vegeta,0,1,0,1,1,1,1,1,1,18718,18718,1163,55,tsenart/vegeta,63.0,3156.0,30.0,227.0,668.0,74.0,301.0,375.0,16.0,193.0,209.0,19.0,179.0,tsenart/vegeta,2013-08-13 11:45:21,3160,0.99873417721519,0.0199367088607594,0.0718354430379746,0.0094936708860759,0.2113924050632911,7.566666666666666,1
k3s-io/k3s,0,1,0,1,1,0,1,1,0,18513,18513,1599,56,k3s-io/k3s,174.0,138.0,30.0,516.0,2197.0,403.0,2670.0,3073.0,17.0,1922.0,1939.0,7.0,87.0,k3s-io/k3s,2018-05-31 01:37:46,1408,0.0980113636363636,0.1235795454545454,0.3664772727272727,0.0213068181818181,1.560369318181818,17.2,1
zyedidia/micro,0,1,0,1,0,0,1,1,0,18433,18433,932,57,zyedidia/micro,256.0,14991.0,30.0,414.0,2721.0,545.0,1153.0,1698.0,67.0,608.0,675.0,3.0,141.0,zyedidia/micro,2016-03-11 02:06:28,2219,6.75574583145561,0.1153672825597115,0.1865705272645335,0.0135196034249662,1.2262280306444344,13.8,1
coreybutler/nvm-windows,0,1,0,1,0,1,1,0,0,18364,18364,1921,58,coreybutler/nvm-windows,67.0,1210778.0,17.0,41.0,346.0,81.0,518.0,599.0,12.0,102.0,114.0,4.0,115.0,coreybutler/nvm-windows,2014-09-20 16:37:28,2757,439.1650344577439,0.0243017772941603,0.0148712368516503,0.0061661225970257,0.1254987305041712,2.411764705882353,1
rancher/rancher,1,0,0,1,1,1,1,1,0,18122,18122,2426,59,rancher/rancher,225.0,446.0,30.0,534.0,8442.0,2070.0,26321.0,28391.0,153.0,7816.0,7969.0,0.0,86.0,rancher/rancher,2014-11-07 20:49:31,2709,0.1646363971945367,0.0830564784053156,0.1971207087486157,0.0110741971207087,3.116279069767442,17.8,1
photoprism/photoprism,0,1,0,1,1,0,1,1,0,17682,17682,953,61,photoprism/photoprism,106.0,0.0,30.0,0.0,5352.0,271.0,1081.0,1352.0,29.0,247.0,276.0,0.0,485.0,photoprism/photoprism,2018-01-27 12:00:15,1532,0.0,0.0691906005221932,0.0,0.0195822454308094,3.493472584856397,0.0,1
schollz/croc,0,1,0,1,0,1,1,0,0,17596,17596,733,62,schollz/croc,78.0,24746.0,30.0,768.0,1634.0,73.0,240.0,313.0,5.0,138.0,143.0,3.0,277.0,schollz/croc,2017-10-17 15:20:18,1634,15.144430844553243,0.047735618115055,0.4700122399020808,0.018359853121175,1.0,25.6,1
spf13/viper,1,1,0,1,0,0,1,0,0,17526,17526,1516,63,spf13/viper,146.0,0.0,17.0,0.0,480.0,332.0,377.0,709.0,84.0,445.0,529.0,12.0,103.0,spf13/viper,2014-04-02 14:33:33,2928,0.0,0.049863387978142,0.0,0.0058060109289617,0.1639344262295081,0.0,1
asim/go-micro,1,1,0,1,0,1,0,0,0,17275,17275,1940,64,asim/go-micro,164.0,0.0,30.0,0.0,3642.0,69.0,820.0,889.0,1.0,1502.0,1503.0,0.0,220.0,asim/go-micro,2015-01-13 23:30:18,2642,0.0,0.0620741862225586,0.0,0.0113550340651021,1.3785011355034065,0.0,1
dgraph-io/dgraph,0,1,0,1,0,1,1,1,0,17026,17026,1250,65,dgraph-io/dgraph,227.0,4848.0,30.0,137.0,5799.0,10.0,2318.0,2328.0,94.0,5652.0,5746.0,0.0,128.0,dgraph-io/dgraph,2015-08-25 07:15:56,2418,2.004962779156328,0.0938792390405293,0.0566583953680727,0.0124069478908188,2.398263027295285,4.566666666666666,1
urfave/cli,0,1,0,1,0,0,1,0,0,16929,16929,1472,66,urfave/cli,244.0,0.0,2.0,0.0,2006.0,67.0,567.0,634.0,15.0,687.0,702.0,3.0,151.0,urfave/cli,2013-07-13 19:32:06,3191,0.0,0.0764650579755562,0.0,0.0006267627702914,0.6286430586023191,0.0,1
valyala/fasthttp,0,1,0,1,0,0,1,0,0,16493,16493,1383,68,valyala/fasthttp,158.0,0.0,2.0,0.0,1456.0,47.0,714.0,761.0,12.0,445.0,457.0,11.0,130.0,valyala/fasthttp,2015-10-18 22:19:57,2364,0.0,0.0668358714043993,0.0,0.0008460236886632,0.6159052453468697,0.0,1
chai2010/advanced-go-programming-book,1,0,0,0,0,0,1,0,0,16295,16295,2764,69,chai2010/advanced-go-programming-book,79.0,0.0,2.0,0.0,1509.0,50.0,161.0,211.0,3.0,356.0,359.0,0.0,63.0,chai2010/advanced-go-programming-book,2017-12-31 10:59:21,1559,0.0,0.050673508659397,0.0,0.0012828736369467,0.967928159076331,0.0,1
iawia002/annie,1,1,0,1,1,1,1,1,0,16286,16286,1944,70,iawia002/annie,83.0,7602.0,30.0,490.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,iawia002/annie,2018-02-24 11:29:03,1504,5.054521276595745,0.0551861702127659,0.3257978723404255,0.0199468085106383,0.4813829787234042,16.333333333333332,1
goharbor/harbor,1,1,0,1,0,1,1,0,0,16250,16250,3914,71,goharbor/harbor,310.0,97992.0,30.0,118.0,11081.0,903.0,8268.0,9171.0,44.0,7155.0,7199.0,0.0,155.0,goharbor/harbor,2016-01-28 21:10:28,2262,43.320954907161806,0.1370468611847922,0.0521662245800176,0.013262599469496,4.898762157382847,3.933333333333333,1
dapr/dapr,0,1,0,1,0,1,1,1,0,16082,16082,1153,72,dapr/dapr,193.0,184.0,30.0,900.0,2757.0,252.0,1761.0,2013.0,31.0,2167.0,2198.0,1.0,105.0,dapr/dapr,2019-06-19 00:49:06,1024,0.1796875,0.1884765625,0.87890625,0.029296875,2.6923828125,30.0,1
yudai/gotty,1,1,0,1,1,1,0,0,0,16024,16024,1237,73,yudai/gotty,23.0,1650.0,16.0,202.0,230.0,97.0,124.0,221.0,41.0,62.0,103.0,0.0,57.0,yudai/gotty,2015-08-16 09:48:33,2427,0.6798516687268232,0.0094767202307375,0.0832303255047383,0.0065925010300782,0.0947672023073753,12.625,0
gorilla/websocket,1,1,0,1,0,0,1,0,0,15949,15949,2650,74,gorilla/websocket,81.0,0.0,2.0,0.0,306.0,24.0,511.0,535.0,9.0,210.0,219.0,1.0,21.0,gorilla/websocket,2013-10-16 16:41:46,3096,0.0,0.0261627906976744,0.0,0.0006459948320413,0.0988372093023255,0.0,1
quii/learn-go-with-tests,1,1,0,1,0,1,1,1,0,15917,15917,2051,75,quii/learn-go-with-tests,175.0,11020.0,30.0,37.0,1150.0,16.0,140.0,156.0,4.0,372.0,376.0,1.0,71.0,quii/learn-go-with-tests,2018-03-02 11:41:14,1498,7.356475300400534,0.116822429906542,0.0246995994659546,0.0200267022696929,0.7676902536715621,1.2333333333333334,1
joewalnes/websocketd,1,1,0,1,0,0,1,0,0,15793,15793,939,76,joewalnes/websocketd,54.0,499.0,7.0,116.0,317.0,31.0,276.0,307.0,1.0,107.0,108.0,0.0,36.0,joewalnes/websocketd,2013-02-14 14:52:55,3340,0.1494011976047904,0.0161676646706586,0.0347305389221556,0.0020958083832335,0.0949101796407185,16.571428571428573,1
go-kratos/kratos,1,1,0,1,0,1,1,1,0,15655,15655,3122,77,go-kratos/kratos,200.0,0.0,2.0,0.0,1341.0,41.0,688.0,729.0,9.0,1110.0,1119.0,1.0,86.0,go-kratos/kratos,2019-01-10 10:42:31,1184,0.0,0.1689189189189189,0.0,0.0016891891891891,1.132601351351351,0.0,1
matryer/xbar,0,1,0,1,0,1,1,1,0,15653,15653,614,78,matryer/xbar,86.0,23187.0,30.0,63.0,1031.0,99.0,503.0,602.0,1.0,217.0,218.0,7.0,173.0,matryer/xbar,2013-11-13 21:00:12,3068,7.5576923076923075,0.0280312907431551,0.0205345501955671,0.0097783572359843,0.3360495436766623,2.1,1
gorilla/mux,0,0,0,1,0,1,1,0,0,15558,15558,1451,79,gorilla/mux,102.0,0.0,2.0,0.0,290.0,26.0,365.0,391.0,11.0,261.0,272.0,7.0,45.0,gorilla/mux,2012-10-02 21:32:24,3475,0.0,0.0293525179856115,0.0,0.0005755395683453,0.0834532374100719,0.0,1
gocolly/colly,1,1,0,1,0,1,1,1,0,15437,15437,1319,80,gocolly/colly,112.0,0.0,2.0,0.0,618.0,119.0,350.0,469.0,24.0,193.0,217.0,3.0,48.0,gocolly/colly,2017-09-29 14:08:49,1652,0.0,0.0677966101694915,0.0,0.0012106537530266,0.37409200968523,0.0,1
helm/charts,1,0,0,1,1,0,1,1,0,15310,15310,17051,81,helm/charts,3688.0,0.0,2.0,0.0,13769.0,0.0,6324.0,6324.0,0.0,18202.0,18202.0,0.0,45.0,helm/charts,2015-11-24 17:05:28,2327,0.0,1.584873227331328,0.0,0.0008594757198109,5.917060593038246,0.0,1
restic/restic,0,1,0,1,0,1,1,0,0,14981,14981,1022,82,restic/restic,330.0,18552.0,30.0,468.0,5745.0,391.0,1654.0,2045.0,77.0,1531.0,1608.0,2.0,69.0,restic/restic,2014-04-27 14:07:58,2903,6.390630382363073,0.113675508095074,0.1612125387530141,0.0103341370995521,1.978987254564244,15.6,1
grpc/grpc-go,1,1,0,1,0,0,1,0,0,14970,14970,3301,83,grpc/grpc-go,349.0,930.0,30.0,15.0,4091.0,114.0,1767.0,1881.0,9.0,3331.0,3340.0,1.0,56.0,grpc/grpc-go,2014-12-08 18:59:34,2678,0.3472740851381628,0.1303211351755041,0.0056011949215832,0.0112023898431665,1.527632561613144,0.5,1
buger/goreplay,1,1,0,1,1,1,1,1,0,14945,14945,1504,84,buger/goreplay,129.0,18100.0,30.0,96.0,1286.0,226.0,438.0,664.0,18.0,366.0,384.0,0.0,132.0,buger/goreplay,2013-05-30 09:29:07,3235,5.595054095826893,0.0398763523956723,0.0296754250386398,0.0092735703245749,0.3975270479134467,3.2,1
