fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
github/linguist,0,0,0,1,0,1,1,1,0,9319,9319,3334,39,github/linguist,1069.0,19611.0,30.0,30.0,6371.0,65.0,2010.0,2075.0,41.0,3329.0,3370.0,5.0,127.0,github/linguist,2011-05-09 22:53:13,3987,4.918735891647856,0.2681213945322298,0.0075244544770504,0.0075244544770504,1.5979433157762728,1.0,0
Shopify/liquid,0,1,0,1,0,0,1,0,0,9177,9177,1196,40,Shopify/liquid,188.0,0.0,2.0,0.0,1499.0,197.0,535.0,732.0,58.0,728.0,786.0,0.0,27.0,Shopify/liquid,2008-05-08 15:27:26,5083,0.0,0.0369860318709423,0.0,0.0003934684241589,0.2949045839071414,0.0,0
activeadmin/activeadmin,0,1,0,1,0,1,1,1,0,9094,9094,3245,41,activeadmin/activeadmin,768.0,0.0,2.0,0.0,7970.0,319.0,3352.0,3671.0,71.0,3615.0,3686.0,0.0,114.0,activeadmin/activeadmin,2010-04-15 14:26:03,4376,0.0,0.1755027422303473,0.0,0.0004570383912248,1.8212979890310783,0.0,0
thoughtbot/paperclip,1,1,0,1,0,1,1,1,0,9070,9070,2358,42,thoughtbot/paperclip,463.0,289.0,13.0,2.0,1973.0,34.0,1806.0,1840.0,16.0,826.0,842.0,10.0,203.0,thoughtbot/paperclip,2008-04-10 19:58:20,5111,0.0565447074936411,0.090588925846214,0.0003913128546272,0.0025435335550772,0.3860301310898063,0.1538461538461538,0
thoughtbot/bourbon,0,1,0,1,1,1,1,1,0,9062,9062,915,43,thoughtbot/bourbon,153.0,3170.0,30.0,6.0,1210.0,5.0,558.0,563.0,1.0,542.0,543.0,2.0,60.0,thoughtbot/bourbon,2011-04-23 15:41:20,4003,0.7919060704471647,0.0382213339995003,0.0014988758431176,0.0074943792155883,0.3022732950287284,0.2,0
resque/resque,1,1,0,1,0,1,1,1,0,9017,9017,1632,44,resque/resque,289.0,0.0,2.0,0.0,1737.0,51.0,810.0,861.0,14.0,900.0,914.0,1.0,158.0,resque/resque,2009-08-12 00:27:35,4622,0.0,0.0625270445694504,0.0,0.0004327131112072,0.3758113370835136,0.0,0
DeathKing/Learning-SICP,1,0,0,0,0,0,0,0,0,9008,9008,1389,45,DeathKing/Learning-SICP,28.0,0.0,2.0,0.0,843.0,8.0,58.0,66.0,0.0,41.0,41.0,4.0,82.0,DeathKing/Learning-SICP,2012-11-14 13:43:27,3432,0.0,0.0081585081585081,0.0,0.0005827505827505,0.2456293706293706,0.0,1
thoughtbot/guides,1,1,0,1,0,1,0,1,0,8954,8954,1354,46,thoughtbot/guides,158.0,0.0,2.0,0.0,517.0,0.0,97.0,97.0,0.0,546.0,546.0,3.0,62.0,thoughtbot/guides,2012-07-27 03:15:44,3542,0.0,0.0446075663466967,0.0,0.0005646527385657,0.1459627329192546,0.0,0
carrierwaveuploader/carrierwave,0,1,0,1,0,1,1,1,0,8668,8668,1614,47,carrierwaveuploader/carrierwave,431.0,0.0,2.0,0.0,2480.0,130.0,1664.0,1794.0,2.0,794.0,796.0,6.0,200.0,carrierwaveuploader/carrierwave,2008-08-28 18:39:49,4971,0.0,0.0867028766847716,0.0,0.0004023335345001,0.4988935827801247,0.0,0
javan/whenever,0,0,0,1,0,1,1,0,0,8533,8533,710,48,javan/whenever,113.0,0.0,2.0,0.0,535.0,63.0,480.0,543.0,27.0,251.0,278.0,5.0,83.0,javan/whenever,2009-02-16 03:19:48,4799,0.0,0.0235465722025421,0.0,0.0004167534903104,0.1114815586580537,0.0,0
kaminari/kaminari,1,1,0,1,1,1,1,1,1,8073,8073,1063,49,kaminari/kaminari,170.0,0.0,2.0,0.0,1606.0,34.0,614.0,648.0,15.0,411.0,426.0,2.0,41.0,kaminari/kaminari,2011-02-06 08:07:20,4079,0.0,0.0416768815886246,0.0,0.0004903162539838,0.3937239519490071,0.0,0
heartcombo/simple_form,1,1,0,1,0,1,1,0,0,7871,7871,1303,50,heartcombo/simple_form,295.0,0.0,2.0,0.0,2024.0,21.0,1162.0,1183.0,7.0,567.0,574.0,6.0,196.0,heartcombo/simple_form,2009-12-28 14:23:48,4484,0.0,0.0657894736842105,0.0,0.0004460303300624,0.4513826940231936,0.0,0
railsadminteam/rails_admin,0,1,0,1,1,1,1,0,0,7541,7541,2199,51,railsadminteam/rails_admin,502.0,0.0,2.0,0.0,4902.0,179.0,2159.0,2338.0,5.0,1122.0,1127.0,1.0,252.0,railsadminteam/rails_admin,2010-08-01 17:01:00,4268,0.0,0.1176194939081537,0.0,0.000468603561387,1.1485473289597,0.0,0
omniauth/omniauth,0,1,0,1,1,1,1,0,0,7469,7469,959,52,omniauth/omniauth,210.0,0.0,2.0,0.0,1423.0,79.0,559.0,638.0,3.0,405.0,408.0,1.0,106.0,omniauth/omniauth,2010-03-30 20:34:32,4392,0.0,0.0478142076502732,0.0,0.000455373406193,0.3239981785063752,0.0,0
varvet/pundit,1,1,0,1,0,1,1,0,0,7450,7450,574,53,varvet/pundit,128.0,0.0,2.0,0.0,533.0,6.0,381.0,387.0,10.0,321.0,331.0,4.0,138.0,varvet/pundit,2012-11-04 09:20:19,3442,0.0,0.0371876815804764,0.0,0.0005810575246949,0.1548518303312027,0.0,0
thoughtbot/factory_bot,0,1,0,1,0,1,1,1,0,7356,7356,2498,54,thoughtbot/factory_bot,268.0,254.0,16.0,16.0,1165.0,21.0,859.0,880.0,9.0,630.0,639.0,4.0,77.0,thoughtbot/factory_bot,2008-06-03 13:55:37,5057,0.0502274075538857,0.0529958473403203,0.0031639311844967,0.0031639311844967,0.2303737393711686,1.0,0
greatghoul/remote-working,1,0,0,0,0,0,1,0,0,7150,7150,714,55,greatghoul/remote-working,47.0,0.0,2.0,0.0,969.0,0.0,30.0,30.0,0.0,257.0,257.0,0.0,608.0,greatghoul/remote-working,2013-10-22 03:17:29,3090,0.0,0.015210355987055,0.0,0.0006472491909385,0.3135922330097087,0.0,0
realm/jazzy,0,1,0,1,0,1,1,0,0,7068,7068,386,56,realm/jazzy,66.0,0.0,2.0,0.0,1441.0,99.0,744.0,843.0,3.0,448.0,451.0,4.0,77.0,realm/jazzy,2014-06-06 05:52:11,2863,0.0,0.0230527418791477,0.0,0.0006985679357317,0.5033181976947259,0.0,0
puma/puma,1,1,0,1,0,1,1,1,0,6910,6910,1286,57,puma/puma,478.0,0.0,2.0,0.0,3679.0,49.0,1445.0,1494.0,10.0,1319.0,1329.0,9.0,164.0,puma/puma,2011-09-23 02:26:08,3850,0.0,0.1241558441558441,0.0,0.0005194805194805,0.9555844155844156,0.0,0
middleman/middleman,0,1,0,1,1,1,1,1,1,6807,6807,735,58,middleman/middleman,239.0,0.0,2.0,0.0,3524.0,11.0,1619.0,1630.0,0.0,882.0,882.0,1.0,54.0,middleman/middleman,2009-07-27 21:41:11,4638,0.0,0.0515308322552824,0.0,0.0004312203536006,0.7598102630444157,0.0,0
skwp/dotfiles,1,1,0,1,0,1,1,0,0,6787,6787,1440,59,skwp/dotfiles,145.0,0.0,2.0,0.0,1246.0,3.0,502.0,505.0,3.0,362.0,365.0,1.0,280.0,skwp/dotfiles,2011-11-17 22:01:19,3795,0.0,0.0382081686429512,0.0,0.0005270092226613,0.32832674571805,0.0,0
chef/chef,0,0,0,1,1,1,1,1,0,6749,6749,2549,60,chef/chef,1031.0,0.0,2.0,0.0,31875.0,321.0,3219.0,3540.0,33.0,9051.0,9084.0,0.0,90.0,chef/chef,2009-01-15 20:40:48,4831,0.0,0.2134133719726764,0.0,0.0004139929621196,6.598012833781826,0.0,0
