fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
h2o/h2o,0,1,0,0,0,1,1,1,0,9670,9670,758,77,h2o/h2o,h2o/h2o,86,1628,1714,148,0,30,0,10025,539,688,1227,1,94,2014-08-16 23:59:03,2792,0.0,0.0530085959885386,0.0,0.0107449856733524,3.5906160458452723,0.0,0
koekeishiya/yabai,0,1,0,1,0,1,1,0,0,9597,9597,346,85,koekeishiya/yabai,koekeishiya/yabai,6,47,53,4,78149,30,30,1087,201,803,1004,3,33,2019-05-04 15:00:50,1070,73.03644859813085,0.0037383177570093,0.02803738317757,0.02803738317757,1.0158878504672897,1.0,1
SpacehuhnTech/esp8266_deauther,0,1,0,1,1,1,1,0,0,9261,9261,2020,62,SpacehuhnTech/esp8266_deauther,SpacehuhnTech/esp8266_deauther,3,125,128,60,318803,18,257,769,80,758,838,0,115,2017-01-07 13:39:23,1917,166.30307772561292,0.0312989045383411,0.1340636411058946,0.0093896713615023,0.4011476264997392,14.27777777777778,0
Tencent/wcdb,1,1,0,1,0,0,1,1,0,9250,9250,1224,74,Tencent/wcdb,Tencent/wcdb,3,34,37,22,267,12,40,1070,224,589,813,1,44,2017-05-11 09:25:03,1793,0.1489124372559955,0.0122699386503067,0.022308979364194,0.0066926938092582,0.5967651979921919,3.333333333333333,1
haiwen/seafile,1,1,0,1,0,1,1,1,0,9169,9169,1367,73,haiwen/seafile,haiwen/seafile,6,0,6,87,0,30,0,2238,154,1929,2083,1,53,2012-07-12 06:47:55,3557,0.0,0.0244588136069721,0.0,0.0084340736575766,0.629181894855215,0.0,0
fogleman/Craft,1,1,0,1,0,0,1,0,0,8945,8945,1176,82,fogleman/Craft,fogleman/Craft,39,88,127,18,0,1,0,753,72,78,150,0,46,2013-04-09 19:47:38,3286,0.0,0.0054777845404747,0.0,0.0003043213633597,0.22915398660986,0.0,1
HandBrake/HandBrake,0,1,0,1,0,1,1,1,0,8917,8917,863,86,HandBrake/HandBrake,HandBrake/HandBrake,20,0,20,118,268917,30,405,11190,246,3130,3376,0,20,2015-08-22 16:32:28,2421,111.07682775712516,0.0487401900041305,0.1672862453531598,0.0123915737298636,4.622057001239157,13.5,0
systemd/systemd,0,1,0,1,0,0,0,0,0,8761,8761,2768,59,systemd/systemd,systemd/systemd,184,0,184,2288,0,30,0,56564,1572,6941,8513,4,45,2015-03-25 15:27:27,2571,0.0,0.8899260987942434,0.0,0.0116686114352392,22.00077790742901,0.0,0
acidanthera/OpenCorePkg,0,1,0,1,0,1,1,0,0,8636,8636,1521,79,acidanthera/OpenCorePkg,acidanthera/OpenCorePkg,1,319,320,81,359568,30,62,4060,0,0,0,0,31,2019-04-03 19:14:29,1101,326.58310626703,0.0735694822888283,0.0563124432334241,0.0272479564032697,3.68755676657584,2.066666666666667,0
SoftEtherVPN/SoftEtherVPN,0,1,0,1,0,1,1,1,0,8505,8505,2132,76,SoftEtherVPN/SoftEtherVPN,SoftEtherVPN/SoftEtherVPN,8,646,654,113,219036,19,116,1648,189,670,859,0,38,2014-01-02 12:40:57,3018,72.57654075546719,0.0374420145791915,0.0384360503644797,0.0062955599734923,0.5460569913850232,6.105263157894737,0
