Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
walkor/Workerman,2,9,0,0,0,5,14,0,7,12.5,15020102,walkor/Workerman,https://github.com/walkor/Workerman,2013-12-08 07:49:28,PHP,,9579,2184,9579,5
swiftmailer/swiftmailer,0,0,0,0,0,0,4,0,0,0.0,93580,swiftmailer/swiftmailer,https://github.com/swiftmailer/swiftmailer,2008-12-19 08:31:03,PHP,,9502,824,9502,0
php-fig/container,0,0,0,0,0,0,0,0,0,0.0,65755556,php-fig/container,https://github.com/php-fig/container,2016-08-15 18:35:30,PHP,,9334,37,9334,3
dingo/api,8,6,0,0,0,2,9,1,0,0.0,18673522,dingo/api,https://github.com/dingo/api,2014-04-11 12:31:18,PHP,,9245,1272,9245,191
bobthecow/psysh,9,6,0,0,0,17,21,0,0,0.0,4549925,bobthecow/psysh,https://github.com/bobthecow/psysh,2012-06-04 17:15:35,PHP,,9157,277,9157,42
squizlabs/PHP_CodeSniffer,11,4,0,0,0,7,10,1,14,2.0,2699935,squizlabs/PHP_CodeSniffer,https://github.com/squizlabs/PHP_CodeSniffer,2011-11-03 04:06:24,PHP,,8981,1405,8981,298
symfony/console,3,0,0,0,0,3,5,0,1,0.0,1398630,symfony/console,https://github.com/symfony/console,2011-02-22 18:00:31,PHP,,8971,224,8971,0
doctrine/orm,2,0,0,0,0,0,2,0,0,0.0,597887,doctrine/orm,https://github.com/doctrine/orm,2010-04-06 21:42:59,PHP,,8941,2356,8941,1380
phpDocumentor/ReflectionDocBlock,6,7,0,0,0,0,7,0,6,4.0,3951767,phpDocumentor/ReflectionDocBlock,https://github.com/phpDocumentor/ReflectionDocBlock,2012-04-06 17:17:37,PHP,,8897,91,8897,19
deployphp/deployer,4,5,1,0,0,3,8,0,0,0.0,11340559,deployphp/deployer,https://github.com/deployphp/deployer,2013-07-11 11:45:38,PHP,,8895,1302,8895,25
FriendsOfPHP/Goutte,0,0,0,0,0,0,0,0,13,0.0,622166,FriendsOfPHP/Goutte,https://github.com/FriendsOfPHP/Goutte,2010-04-21 19:21:54,PHP,,8704,992,8704,126
phpDocumentor/TypeResolver,17,7,0,0,0,0,5,0,36,8.0,37216840,phpDocumentor/TypeResolver,https://github.com/phpDocumentor/TypeResolver,2015-06-10 19:05:30,PHP,,8699,39,8699,6
phpDocumentor/ReflectionCommon,0,7,0,0,0,0,6,0,0,0.0,36597039,phpDocumentor/ReflectionCommon,https://github.com/phpDocumentor/ReflectionCommon,2015-05-31 09:52:59,PHP,,8613,19,8613,2
doctrine/dbal,3,0,0,0,0,1,3,0,0,0.0,677464,doctrine/dbal,https://github.com/doctrine/dbal,2010-05-20 17:01:42,PHP,,8454,1164,8454,349
cakephp/cakephp,21,0,0,0,0,5,27,0,3,1.0,656494,cakephp/cakephp,https://github.com/cakephp/cakephp,2010-05-08 14:38:22,PHP,,8443,3471,8443,35
dompdf/dompdf,25,7,1,0,0,4,18,1,2,8.0,6660366,dompdf/dompdf,https://github.com/dompdf/dompdf,2012-11-12 20:47:16,PHP,,8407,1577,8407,639
typecho/typecho,0,0,0,0,0,0,0,0,0,0.0,11467667,typecho/typecho,https://github.com/typecho/typecho,2013-07-17 05:08:35,PHP,,8375,1705,8375,335
phpspec/prophecy,18,2,0,0,0,0,3,0,53,21.0,9004802,phpspec/prophecy,https://github.com/phpspec/prophecy,2013-03-25 11:40:40,PHP,,8272,223,8272,106
reactphp/reactphp,38,0,0,0,0,20,37,0,2,6.0,4287921,reactphp/reactphp,https://github.com/reactphp/reactphp,2012-05-10 18:00:00,PHP,,8200,744,8200,2
guyueyingmu/avbook,0,5,0,0,0,4,10,0,2,0.0,82436691,guyueyingmu/avbook,https://github.com/guyueyingmu/avbook,2017-02-19 05:09:55,PHP,,8103,1947,8103,67
sebastianbergmann/php-code-coverage,0,4,0,0,0,1,5,0,0,3.0,212659,sebastianbergmann/php-code-coverage,https://github.com/sebastianbergmann/php-code-coverage,2009-05-28 16:01:43,PHP,,8098,341,8098,31
myclabs/DeepCopy,17,8,0,0,0,0,7,0,29,18.0,11584853,myclabs/DeepCopy,https://github.com/myclabs/DeepCopy,2013-07-22 15:28:03,PHP,,8072,83,8072,15
