repo_id,repository,fullname,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits
114,pudongqi/My_Compiler,pudongqi/My_Compiler,0,0,0,1,0,0,0,4,0,0,0,0,0
115,moonpolysoft/cherly,moonpolysoft/cherly,0,0,0,1,0,0,0,50,2,0,2,0,7
116,yubo/ip_vs_ca,yubo/ip_vs_ca,0,0,0,3,48,3,7,32,3,11,14,0,20
117,postmodern/digest-crc,postmodern/digest-crc,0,0,0,8,0,0,0,229,4,18,22,0,50
119,upring/virtdbg,upring/virtdbg,0,0,0,1,0,0,0,9,0,0,0,0,2
126,CedricGuillemet/libProfiler,CedricGuillemet/libProfiler,0,0,0,1,0,0,0,6,0,0,0,0,6
127,tresacton/exploits,tresacton/exploits,0,0,0,5,0,0,0,42,0,0,0,0,22
132,phdphuc/mac-a-mal,phdphuc/mac-a-mal,0,0,0,1,0,0,0,4,3,2,5,0,2
133,3gstudent/Bypass-Windows-AppLocker,3gstudent/Bypass-Windows-AppLocker,0,0,0,1,0,0,0,3,0,0,0,0,1
134,varnish/libvmod-curl,varnish/libvmod-curl,0,0,0,21,0,0,0,202,0,26,26,2,11
135,noduino/noduino-sdk,noduino/noduino-sdk,0,0,0,5,0,0,0,1190,7,1,8,0,14
136,alinradut/AsteroidsCocos2D-x,alinradut/AsteroidsCocos2D-x,0,0,0,2,0,0,0,12,1,0,1,0,0
138,drawapp8/cantk-runtime,drawapp8/cantk-runtime,0,0,0,1,0,0,0,28,0,0,0,0,18
140,xerub/ropc,xerub/ropc,0,0,0,1,0,0,0,70,0,1,1,0,3
144,PaulKlinger/cnn_card,PaulKlinger/cnn_card,0,0,0,1,0,0,0,65,0,0,0,0,4
146,GRSource/Emoji,GRSource/Emoji,0,0,0,1,0,0,0,5,1,1,2,0,2
147,promisechen/dpdk,promisechen/dpdk,0,0,0,3,0,0,0,54,1,0,1,0,19
152,friendlyarm/uboot_tiny4412,friendlyarm/uboot_tiny4412,0,0,0,1,0,0,0,7,0,0,0,0,1
153,quetwo/as3-arduino-connector,quetwo/as3-arduino-connector,0,0,0,3,0,0,0,52,15,21,36,0,1
155,lqs/crabdb,lqs/crabdb,0,0,0,1,0,0,0,3,0,0,0,0,2
156,chrishulbert/friendly_launchpad,chrishulbert/friendly_launchpad,0,0,0,1,0,0,0,2,0,0,0,0,2
157,xlab/netsed,xlab/netsed,0,2,2,7,0,0,0,84,0,0,0,0,13
159,mltframework/melted,mltframework/melted,0,1,1,11,0,0,0,1408,1,2,3,0,14
160,hexsum/Mojo-StrawberryPerl,hexsum/Mojo-StrawberryPerl,0,1,1,1,0,0,0,31,6,1,7,0,21
162,avs333/injector,avs333/injector,0,0,0,1,0,0,0,18,1,0,1,0,5
163,bazad/launchd-portrep,bazad/launchd-portrep,0,0,0,1,0,0,0,10,0,0,0,0,4
167,toby20130333/qtquickqrencode,toby20130333/qtquickqrencode,0,0,0,1,0,0,0,18,0,0,0,0,12
168,ailispaw/docker-root-xhyve,ailispaw/docker-root-xhyve,0,0,0,1,568,9,9,89,2,9,11,0,60
170,tangrs/usb-gba-multiboot,tangrs/usb-gba-multiboot,0,0,0,1,0,0,0,8,1,0,1,0,1
171,fm4dd/viper,fm4dd/viper,0,0,0,1,0,0,0,24,0,0,0,0,17
176,sooty1892/packet-pro,sooty1892/packet-pro,0,0,0,7,0,0,0,276,0,0,0,0,6
