Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
grafana/k6,25,9,1,0,0,11,57,0,46,15.5,54400687,grafana/k6,https://github.com/grafana/k6,2016-03-21 15:30:24,Go,,14686,756,14686,327
hoanhan101/ultimate-go,0,1,0,0,0,1,3,0,0,0.0,131371773,hoanhan101/ultimate-go,https://github.com/hoanhan101/ultimate-go,2018-04-28 04:11:24,Go,,14642,1155,14642,0
grafana/loki,35,6,0,0,0,5,33,0,4,5.0,129717717,grafana/loki,https://github.com/grafana/loki,2018-04-16 09:22:48,Go,,14391,1696,14391,343
derailed/k9s,81,14,0,8,0,10,38,0,63,30.0,167596393,derailed/k9s,https://github.com/derailed/k9s,2019-01-25 18:46:02,Go,,14380,882,14380,208
uber-go/zap,0,0,0,0,0,0,0,0,11,2.0,52034309,uber-go/zap,https://github.com/uber-go/zap,2016-02-18 19:52:56,Go,,14247,1055,14247,89
cayleygraph/cayley,13,3,0,0,0,2,13,1,0,0.0,20537104,cayleygraph/cayley,https://github.com/cayleygraph/cayley,2014-06-05 18:49:41,Go,,13999,1264,13999,92
filebrowser/filebrowser,0,7,1,0,0,4,11,0,0,0.0,42332863,filebrowser/filebrowser,https://github.com/filebrowser/filebrowser,2015-09-11 21:21:58,Go,,13720,1748,13720,116
kubernetes/kops,0,2,0,0,0,0,8,0,3,0.0,62091339,kubernetes/kops,https://github.com/kubernetes/kops,2016-06-27 22:01:15,Go,,13563,4196,13563,215
julienschmidt/httprouter,17,1,0,0,0,26,36,0,23,10.0,14956897,julienschmidt/httprouter,https://github.com/julienschmidt/httprouter,2013-12-05 15:10:55,Go,,13455,1289,13455,65
hashicorp/packer,4,2,0,0,0,2,7,0,2,2.0,8966356,hashicorp/packer,https://github.com/hashicorp/packer,2013-03-23 05:43:03,Go,,13314,3175,13314,288
chrislusf/seaweedfs,63,11,0,0,0,9,25,0,10,17.0,21827146,chrislusf/seaweedfs,https://github.com/chrislusf/seaweedfs,2014-07-14 16:41:37,Go,,13273,1638,13273,54
v2fly/v2ray-core,13,7,0,0,0,14,19,1,0,0.0,181461073,v2fly/v2ray-core,https://github.com/v2fly/v2ray-core,2019-04-15 10:05:54,Go,,13191,2222,13191,51
gillesdemey/go-dicom,0,1,0,0,0,3,3,2,1,2.0,29109837,gillesdemey/go-dicom,https://github.com/gillesdemey/go-dicom,2015-01-11 23:19:13,Go,,99,28,99,5
recoilme/slowpoke,3,4,0,0,0,9,9,0,3,3.0,122040719,recoilme/slowpoke,https://github.com/recoilme/slowpoke,2018-02-19 09:22:37,Go,,98,8,98,0
dforsyth/donut-go,2,0,0,0,0,0,0,0,0,1.0,3241878,dforsyth/donut-go,https://github.com/dforsyth/donut-go,2012-01-22 20:34:36,Go,,97,9,97,0
polaris1119/autogo,0,0,0,0,0,4,4,0,0,1.0,7222719,polaris1119/autogo,https://github.com/polaris1119/autogo,2012-12-18 12:09:25,Go,,96,28,96,1
