Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
vuejs/vue-next,16,3,0,0,0,9,19,0,5,2.0,137078487,vuejs/vue-next,https://github.com/vuejs/vue-next,2018-06-12 13:49:36,TypeScript,,26155,4543,26155,436,33,vuejs/vue-next,321.0,0.0,2.0,0.0,4204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,500.0,121.0,164.0,171.0,164.0,1.0,1,1362,0.2356828193832599,0.0,0.0014684287812041115,3.0866372980910426,0.0,3.0881057268722465,500.0
ReactiveX/rxjs,14,4,0,0,0,6,11,0,5,3.0,32247847,ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,2015-03-15 06:17:10,TypeScript,,26062,2680,26062,219,34,ReactiveX/rxjs,531.0,0.0,2.0,0.0,4982.0,201.0,2799.0,3000.0,35.0,3597.0,3632.0,6.0,119.0,655.0,169.0,163.0,156.0,163.0,173.0,1,2547,0.20848056537102475,0.0,0.0007852375343541421,1.956026698076168,0.0,1.9568119356105222,655.0
postcss/postcss,70,0,0,1,0,13,26,1,75,11.0,13078968,postcss/postcss,https://github.com/postcss/postcss,2013-09-24 23:06:48,TypeScript,,25532,1433,25532,9,35,postcss/postcss,403.0,0.0,2.0,0.0,3695.0,12.0,846.0,858.0,0.0,825.0,825.0,3.0,775.0,579.0,148.0,162.0,125.0,162.0,130.0,1,3084,0.130674448767834,0.0,0.0006485084306095979,1.1981193255512321,0.0,1.1987678339818417,579.0
excalidraw/excalidraw,10,3,0,0,0,3,24,1,7,7.0,231283452,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2020-01-02 01:04:43,TypeScript,,25212,1904,25212,500,36,excalidraw/excalidraw,198.0,487.0,3.0,3.0,2518.0,493.0,1253.0,1746.0,115.0,2908.0,3023.0,0.0,53.0,627.0,165.0,161.0,137.0,161.0,168.0,1,793,0.24968474148802017,0.0037831021437578815,0.0037831021437578815,3.1752837326607817,1.0,4.179066834804539,627.0
angular/angular-cli,14,16,0,0,0,16,20,0,42,4.0,36891867,angular/angular-cli,https://github.com/angular/angular-cli,2015-06-04 19:49:37,TypeScript,,25071,11900,25071,276,37,angular/angular-cli,614.0,0.0,2.0,0.0,8974.0,232.0,13304.0,13536.0,23.0,8803.0,8826.0,8.0,167.0,694.0,177.0,160.0,188.0,160.0,186.0,1,2466,0.24898621248986214,0.0,0.0008110300081103001,3.6390916463909164,0.0,3.6399026763990268,694.0
mobxjs/mobx,10,26,0,1,0,4,41,0,4,1.0,32215970,mobxjs/mobx,https://github.com/mobxjs/mobx,2015-03-14 14:31:38,TypeScript,,24572,1611,24572,19,39,mobxjs/mobx,314.0,0.0,2.0,0.0,3109.0,13.0,1773.0,1786.0,7.0,1111.0,1118.0,1.0,279.0,579.0,148.0,158.0,129.0,158.0,134.0,1,2548,0.12323390894819466,0.0,0.0007849293563579278,1.2201726844583987,0.0,1.2209576138147566,579.0
cheeriojs/cheerio,17,0,0,0,0,12,30,3,30,17.0,2541284,cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,2011-10-09 04:23:20,TypeScript,,24572,1504,24572,18,40,cheeriojs/cheerio,146.0,0.0,2.0,0.0,1844.0,20.0,1035.0,1055.0,4.0,1321.0,1325.0,10.0,217.0,580.0,151.0,158.0,126.0,158.0,138.0,1,3800,0.038421052631578946,0.0,0.0005263157894736842,0.48526315789473684,0.0,0.48578947368421055,580.0
react-hook-form/react-hook-form,6,18,1,0,0,56,76,0,0,1.0,174038031,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2019-03-05 23:47:10,TypeScript,,24429,1174,24429,7,41,react-hook-form/react-hook-form,211.0,0.0,2.0,0.0,3135.0,0.0,3010.0,3010.0,16.0,1845.0,1861.0,41.0,266.0,581.0,152.0,157.0,118.0,157.0,149.0,1,1096,0.19251824817518248,0.0,0.0018248175182481751,2.8604014598540144,0.0,2.8622262773722627,581.0
tannerlinsley/react-query,11,13,0,0,0,25,35,2,0,0.0,207645083,tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,2019-09-10 19:23:58,TypeScript,,24136,1256,24136,30,42,tannerlinsley/react-query,404.0,0.0,2.0,0.0,1451.0,19.0,855.0,874.0,12.0,942.0,954.0,4.0,276.0,566.0,141.0,156.0,121.0,156.0,133.0,1,907,0.4454244762954796,0.0,0.002205071664829107,1.5997794928335172,0.0,1.6019845644983464,566.0
supabase/supabase,57,4,1,0,0,48,57,0,0,0.0,214587193,supabase/supabase,https://github.com/supabase/supabase,2019-10-12 05:56:49,TypeScript,,24050,1212,24050,202,43,supabase/supabase,360.0,0.0,2.0,0.0,5257.0,201.0,859.0,1060.0,49.0,1598.0,1647.0,0.0,116.0,574.0,145.0,155.0,120.0,155.0,144.0,1,875,0.4114285714285714,0.0,0.002285714285714286,6.008,0.0,6.010285714285715,574.0
JedWatson/react-select,35,4,0,1,0,1,23,0,20,3.0,23338716,JedWatson/react-select,https://github.com/JedWatson/react-select,2014-08-26 04:27:45,TypeScript,,23761,3816,23761,172,44,JedWatson/react-select,507.0,0.0,2.0,0.0,4052.0,154.0,3086.0,3240.0,57.0,1511.0,1568.0,6.0,213.0,614.0,161.0,154.0,163.0,154.0,143.0,1,2748,0.18449781659388648,0.0,0.000727802037845706,1.4745269286754004,0.0,1.475254730713246,614.0
akveo/ngx-admin,20,8,0,0,0,6,23,1,2,0.0,59652928,akveo/ngx-admin,https://github.com/akveo/ngx-admin,2016-05-25 10:09:03,TypeScript,,23255,7385,23255,440,45,akveo/ngx-admin,37.0,0.0,2.0,0.0,536.0,382.0,1301.0,1683.0,63.0,881.0,944.0,0.0,57.0,618.0,162.0,153.0,180.0,153.0,132.0,1,2110,0.017535545023696683,0.0,0.0009478672985781991,0.25402843601895736,0.0,0.25497630331753557,618.0
ianstormtaylor/slate,31,6,0,0,0,12,34,0,10,0.0,61412022,ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,2016-06-18 01:52:42,TypeScript,,23015,2548,23015,443,46,ianstormtaylor/slate,483.0,0.0,2.0,0.0,3797.0,466.0,2326.0,2792.0,10.0,1993.0,2003.0,2.0,217.0,608.0,160.0,152.0,153.0,152.0,151.0,1,2086,0.23154362416107382,0.0,0.0009587727708533077,1.8202301054650047,0.0,1.821188878235858,608.0
chakra-ui/chakra-ui,9,17,0,0,0,221,244,1,8,3.0,202890778,chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,2019-08-17 14:27:54,TypeScript,,22479,1945,22479,112,47,chakra-ui/chakra-ui,541.0,0.0,2.0,0.0,7915.0,120.0,2313.0,2433.0,29.0,2256.0,2285.0,0.0,287.0,598.0,156.0,151.0,141.0,151.0,155.0,1,931,0.5810955961331902,0.0,0.0021482277121374865,8.501611170784104,0.0,8.503759398496241,598.0
angular/components,20,3,0,1,0,1,7,0,6,0.0,49016322,angular/components,https://github.com/angular/components,2016-01-04 18:50:02,TypeScript,,22334,5931,22334,2077,48,angular/components,648.0,0.0,2.0,0.0,9418.0,1688.0,11296.0,12984.0,252.0,11214.0,11466.0,13.0,91.0,666.0,172.0,150.0,175.0,150.0,191.0,1,2252,0.2877442273534636,0.0,0.0008880994671403197,4.182060390763765,0.0,4.182948490230905,666.0
doczjs/docz,31,4,0,0,0,18,33,0,12,4.0,125596489,doczjs/docz,https://github.com/doczjs/docz,2018-03-17 04:24:10,TypeScript,,21987,1398,21987,97,49,doczjs/docz,136.0,0.0,2.0,0.0,1604.0,109.0,1122.0,1231.0,8.0,467.0,475.0,3.0,102.0,543.0,132.0,149.0,124.0,149.0,121.0,1,1449,0.09385783298826778,0.0,0.0013802622498274672,1.1069703243616287,0.0,1.1083505866114562,543.0
t4t5/sweetalert,21,16,1,0,0,3,33,1,6,10.0,24635156,t4t5/sweetalert,https://github.com/t4t5/sweetalert,2014-09-30 11:12:48,TypeScript,,21857,2899,21857,173,50,t4t5/sweetalert,72.0,0.0,2.0,0.0,361.0,148.0,543.0,691.0,28.0,250.0,278.0,0.0,40.0,560.0,138.0,148.0,157.0,148.0,107.0,1,2713,0.026538886841135274,0.0,0.0007371913011426465,0.13306302985624768,0.0,0.13380022115739032,560.0
balena-io/etcher,9,4,0,0,0,2,8,0,1,19.0,45055693,balena-io/etcher,https://github.com/balena-io/etcher,2015-10-27 16:53:23,TypeScript,,21852,1539,21852,317,51,balena-io/etcher,87.0,427933.0,30.0,502.0,2968.0,344.0,1519.0,1863.0,3.0,1841.0,1844.0,9.0,78.0,570.0,144.0,147.0,128.0,147.0,148.0,1,2321,0.037483843171046964,0.21628608358466178,0.012925463162429988,1.2787591555364066,16.733333333333334,18.025017952032172,570.0
pmndrs/react-spring,0,12,1,1,0,4,16,0,1,0.0,124257233,pmndrs/react-spring,https://github.com/pmndrs/react-spring,2018-03-07 15:39:32,TypeScript,,21845,944,21845,43,52,pmndrs/react-spring,157.0,0.0,2.0,0.0,3234.0,48.0,1007.0,1055.0,5.0,388.0,393.0,0.0,12.0,520.0,129.0,146.0,113.0,146.0,115.0,1,1459,0.10760795065113091,0.0,0.0013708019191226869,2.2165867032213846,0.0,2.2179575051405074,520.0
react-native-elements/react-native-elements,29,62,0,0,0,10,108,1,1,1.0,67709808,react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,TypeScript,,21704,4311,21704,112,53,react-native-elements/react-native-elements,370.0,0.0,2.0,0.0,2229.0,58.0,1837.0,1895.0,8.0,1429.0,1437.0,10.0,105.0,597.0,155.0,145.0,167.0,145.0,140.0,1,2004,0.18463073852295409,0.0,0.000998003992015968,1.1122754491017963,0.0,1.1132734530938122,597.0
reduxjs/react-redux,0,3,0,0,0,3,12,0,2,2.0,38934449,reduxjs/react-redux,https://github.com/reduxjs/react-redux,2015-07-11 17:32:01,TypeScript,,21574,3141,21574,35,54,reduxjs/react-redux,275.0,0.0,2.0,0.0,1053.0,17.0,1133.0,1150.0,5.0,676.0,681.0,2.0,100.0,574.0,145.0,144.0,161.0,144.0,125.0,1,2429,0.11321531494442157,0.0,0.0008233841086867024,0.4335117332235488,0.0,0.4343351173322355,574.0
vuejs/devtools,0,2,0,0,0,1,4,0,0,0.0,24579238,vuejs/devtools,https://github.com/vuejs/devtools,2014-09-29 03:52:07,TypeScript,,21357,3542,21357,352,55,vuejs/devtools,120.0,55829.0,30.0,18.0,1940.0,350.0,991.0,1341.0,32.0,336.0,368.0,1.0,58.0,560.0,138.0,143.0,162.0,143.0,112.0,1,2714,0.04421518054532056,0.006632277081798084,0.01105379513633014,0.7148120854826824,0.6,1.3258658806190124,560.0
