fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
railsadminteam/rails_admin,0,1,0,1,1,1,1,0,0,7541,7541,2199,51,railsadminteam/rails_admin,502.0,0.0,2.0,0.0,4902.0,179.0,2159.0,2338.0,5.0,1122.0,1127.0,1.0,252.0,586.0,148.0,138.0,156.0,138.0,154.0,1,railsadminteam/rails_admin,2010-08-01 17:01:00,4234,0.11856400566839868,0.0,0.0004723665564478035,1.1577704298535663,0.0,1.1582427964100142,586.0
omniauth/omniauth,0,1,0,1,1,1,1,0,0,7469,7469,959,52,omniauth/omniauth,210.0,0.0,2.0,0.0,1423.0,79.0,559.0,638.0,3.0,405.0,408.0,1.0,106.0,524.0,132.0,137.0,126.0,137.0,124.0,1,omniauth/omniauth,2010-03-30 20:34:32,4358,0.048187241854061494,0.0,0.0004589261128958238,0.3265259293253786,0.0,0.32698485543827444,524.0
varvet/pundit,1,1,0,1,0,1,1,0,0,7450,7450,574,53,varvet/pundit,128.0,0.0,2.0,0.0,533.0,6.0,381.0,387.0,10.0,321.0,331.0,4.0,138.0,494.0,123.0,136.0,109.0,136.0,113.0,1,varvet/pundit,2012-11-04 09:20:19,3408,0.03755868544600939,0.0,0.0005868544600938967,0.15639671361502347,0.0,0.15698356807511737,494.0
thoughtbot/factory_bot,0,1,0,1,0,1,1,1,0,7356,7356,2498,54,thoughtbot/factory_bot,268.0,254.0,16.0,16.0,1165.0,21.0,859.0,880.0,9.0,630.0,639.0,4.0,77.0,565.0,144.0,135.0,161.0,135.0,134.0,1,thoughtbot/factory_bot,2008-06-03 13:55:37,5023,0.05335456898267967,0.0031853474019510252,0.0031853474019510252,0.23193310770455902,1.0,1.23511845510651,565.0
greatghoul/remote-working,1,0,0,0,0,0,1,0,0,7150,7150,714,55,greatghoul/remote-working,47.0,0.0,2.0,0.0,969.0,0.0,30.0,30.0,0.0,257.0,257.0,0.0,608.0,493.0,121.0,134.0,117.0,134.0,108.0,1,greatghoul/remote-working,2013-10-22 03:17:29,3056,0.015379581151832461,0.0,0.0006544502617801048,0.3170811518324607,0.0,0.31773560209424084,493.0
realm/jazzy,0,1,0,1,0,1,1,0,0,7068,7068,386,56,realm/jazzy,66.0,0.0,2.0,0.0,1441.0,99.0,744.0,843.0,3.0,448.0,451.0,4.0,77.0,489.0,120.0,133.0,97.0,133.0,126.0,1,realm/jazzy,2014-06-06 05:52:11,2829,0.02332979851537646,0.0,0.0007069635913750442,0.5093672675857194,0.0,0.5100742311770944,489.0
puma/puma,1,1,0,1,0,1,1,1,0,6910,6910,1286,57,puma/puma,478.0,0.0,2.0,0.0,3679.0,49.0,1445.0,1494.0,10.0,1319.0,1329.0,9.0,164.0,560.0,143.0,132.0,138.0,132.0,158.0,1,puma/puma,2011-09-23 02:26:08,3816,0.12526205450733752,0.0,0.0005241090146750524,0.964098532494759,0.0,0.964622641509434,560.0
middleman/middleman,0,1,0,1,1,1,1,1,1,6807,6807,735,58,middleman/middleman,239.0,0.0,2.0,0.0,3524.0,11.0,1619.0,1630.0,0.0,882.0,882.0,1.0,54.0,528.0,136.0,131.0,118.0,131.0,148.0,1,middleman/middleman,2009-07-27 21:41:11,4604,0.051911381407471764,0.0,0.0004344048653344917,0.7654213727193745,0.0,0.765855777584709,528.0
skwp/dotfiles,1,1,0,1,0,1,1,0,0,6787,6787,1440,59,skwp/dotfiles,145.0,0.0,2.0,0.0,1246.0,3.0,502.0,505.0,3.0,362.0,365.0,1.0,280.0,524.0,132.0,130.0,146.0,130.0,118.0,1,skwp/dotfiles,2011-11-17 22:01:19,3761,0.03855357617654879,0.0,0.0005317734645041213,0.33129486838606753,0.0,0.33182664185057165,524.0
chef/chef,0,0,0,1,1,1,1,1,0,6749,6749,2549,60,chef/chef,1031.0,0.0,2.0,0.0,31875.0,321.0,3219.0,3540.0,33.0,9051.0,9084.0,0.0,90.0,600.0,153.0,129.0,162.0,129.0,180.0,1,chef/chef,2009-01-15 20:40:48,4797,0.21492599541380028,0.0,0.0004169272461955389,6.644777986241401,0.0,6.645194913487597,600.0
BetterErrors/better_errors,0,1,0,1,0,0,1,1,0,6743,6743,445,61,BetterErrors/better_errors,97.0,24.0,30.0,4.0,730.0,39.0,239.0,278.0,14.0,210.0,224.0,3.0,75.0,458.0,113.0,128.0,99.0,128.0,103.0,1,BetterErrors/better_errors,2012-12-08 11:02:18,3374,0.02874925903971547,0.0011855364552459987,0.00889152341434499,0.2163604030823948,0.13333333333333333,0.3585852598300731,458.0
github-changelog-generator/github-changelog-generator,0,1,0,1,1,1,1,1,0,6622,6622,826,62,github-changelog-generator/github-changelog-generator,109.0,0.0,2.0,0.0,1792.0,136.0,264.0,400.0,3.0,460.0,463.0,3.0,159.0,501.0,125.0,127.0,120.0,127.0,127.0,1,github-changelog-generator/github-changelog-generator,2014-10-31 14:06:48,2682,0.04064131245339299,0.0,0.0007457121551081282,0.668158090976883,0.0,0.668903803131991,501.0
puppetlabs/puppet,1,0,0,1,1,1,1,1,0,6387,6387,2213,63,puppetlabs/puppet,916.0,0.0,2.0,0.0,34042.0,0.0,0.0,0.0,27.0,8810.0,8837.0,0.0,60.0,588.0,149.0,126.0,157.0,126.0,179.0,1,puppetlabs/puppet,2010-09-14 19:26:44,4190,0.21861575178997614,0.0,0.00047732696897374703,8.124582338902147,0.0,8.125059665871122,588.0
flyerhzm/bullet,1,1,0,1,1,1,1,0,0,6384,6384,373,64,flyerhzm/bullet,156.0,0.0,2.0,0.0,1291.0,84.0,239.0,323.0,22.0,269.0,291.0,4.0,80.0,454.0,111.0,125.0,94.0,125.0,110.0,1,flyerhzm/bullet,2009-08-13 15:47:31,4587,0.034009156311314584,0.0,0.0004360148245040331,0.28144756921735337,0.0,0.2818835840418574,454.0
