fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
jarun/nnn,1,1,0,1,0,1,1,0,0,13023,13023,509,52,jarun/nnn,jarun/nnn,1,540,541,151,2360,30,350,3872,2,757,759,1,900,537.0,140.0,147.0,93.0,147.0,150.0,1,jarun/nnn,2016-08-20 14:10:14,2023,0.07464162135442412,0.17301038062283736,0.014829461196243203,1.9139891250617895,11.666666666666666,13.595485252924698,537.0
timescale/timescaledb,1,1,0,1,0,1,1,1,0,12166,12166,641,50,timescale/timescaledb,timescale/timescaledb,16,2260,2276,82,4199,30,19,3192,382,1418,1800,1,87,561.0,146.0,146.0,100.0,146.0,169.0,1,timescale/timescaledb,2017-03-07 20:03:41,1824,0.044956140350877194,0.010416666666666666,0.01644736842105263,1.75,0.6333333333333333,2.399780701754386,561.0
Foundry376/Mailspring,0,1,0,1,0,1,1,1,0,11867,11867,757,51,Foundry376/Mailspring,Foundry376/Mailspring,4,218,222,239,75020,30,202,7389,3,2142,2145,2,141,526.0,139.0,145.0,102.0,145.0,134.0,1,Foundry376/Mailspring,2016-10-13 06:45:50,1969,0.12138141188420518,0.10259014728288471,0.015236160487557136,3.7526663280853225,6.733333333333333,10.501235821906214,526.0
TheAlgorithms/C,1,1,0,0,0,1,1,1,0,11757,11757,3089,35,TheAlgorithms/C,TheAlgorithms/C,16,825,841,209,0,0,0,1379,2,81,83,0,74,600.0,155.0,144.0,154.0,144.0,158.0,1,TheAlgorithms/C,2016-07-16 10:17:03,2058,0.10155490767735666,0.0,0.0,0.6700680272108843,-1,-0.3299319727891157,600.0
arut/nginx-rtmp-module,0,1,0,1,0,0,1,0,0,11468,11468,3249,36,arut/nginx-rtmp-module,arut/nginx-rtmp-module,83,63,146,15,0,0,0,958,982,526,1508,0,34,565.0,149.0,143.0,156.0,143.0,123.0,1,arut/nginx-rtmp-module,2012-03-14 05:37:38,3643,0.0041174855888004395,0.0,0.0,0.2629700796047214,-1,-0.7370299203952786,565.0
memcached/memcached,1,1,0,1,1,0,1,1,0,11384,11384,3023,39,memcached/memcached,memcached/memcached,13,0,13,241,0,0,0,1833,55,348,403,0,13,512.0,133.0,142.0,152.0,142.0,76.0,1,memcached/memcached,2009-04-24 23:34:25,4698,0.05129842486164325,0.0,0.0,0.3901660280970626,-1,-0.6098339719029374,512.0
alibaba/tengine,0,1,0,1,0,1,1,0,0,11192,11192,2388,43,alibaba/tengine,alibaba/tengine,48,747,795,114,0,8,0,1525,345,465,810,0,23,578.0,152.0,141.0,139.0,141.0,157.0,1,alibaba/tengine,2012-03-21 06:34:37,3636,0.03135313531353135,0.0,0.0022002200220022,0.41941694169416943,0.0,0.42161716171617164,578.0
twitter/twemproxy,1,1,0,1,0,1,1,0,0,11121,11121,1952,44,twitter/twemproxy,twitter/twemproxy,39,0,39,76,1658,5,2,602,133,281,414,6,108,512.0,133.0,140.0,130.0,140.0,102.0,1,twitter/twemproxy,2012-02-22 16:53:58,3664,0.02074235807860262,0.0005458515283842794,0.0013646288209606986,0.16430131004366813,0.4,0.5656659388646288,512.0
qmk/qmk_firmware,0,1,0,1,0,1,1,0,0,11072,11072,23036,29,qmk/qmk_firmware,qmk/qmk_firmware,399,13726,14125,2675,0,0,0,20155,465,1886,2351,0,116,643.0,169.0,139.0,182.0,139.0,183.0,1,qmk/qmk_firmware,2014-12-08 22:02:05,2644,1.0117246596066565,0.0,0.0,7.622919818456883,-1,6.622919818456883,643.0
s-matyukevich/raspberry-pi-os,0,1,0,0,1,0,0,0,0,10975,10975,1065,53,s-matyukevich/raspberry-pi-os,s-matyukevich/raspberry-pi-os,4,135,139,59,0,0,0,498,45,60,105,0,41,509.0,130.0,138.0,111.0,138.0,122.0,1,s-matyukevich/raspberry-pi-os,2017-06-22 16:09:36,1717,0.0343622597553873,0.0,0.0,0.29004076878276064,-1,-0.7099592312172394,509.0
ish-app/ish,0,1,0,1,0,0,1,0,0,10924,10924,585,63,ish-app/ish,ish-app/ish,15,241,256,60,38,30,90,3005,369,971,1340,4,57,506.0,127.0,137.0,96.0,137.0,136.0,1,ish-app/ish,2017-05-05 00:10:35,1765,0.0339943342776204,0.05099150141643059,0.0169971671388102,1.7025495750708215,3.0,4.719546742209632,506.0
hashcat/hashcat,0,0,0,1,0,1,1,1,0,10923,10923,1867,47,hashcat/hashcat,hashcat/hashcat,7,1559,1566,120,64516,23,14,8334,131,1487,1618,0,22,564.0,148.0,136.0,128.0,136.0,164.0,1,hashcat/hashcat,2015-12-04 14:46:51,2283,0.052562417871222074,0.006132282084975909,0.010074463425317565,3.650459921156373,0.6086956521739131,4.269230036755603,564.0
