fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
balderdashy/sails,1,1,0,1,0,1,1,1,0,22111,22111,1934,83,balderdashy/sails,294.0,0.0,30.0,0.0,7143.0,456.0,5835.0,6291.0,64.0,831.0,895.0,1.0,249.0,451.0,103.0,106.0,104.0,106.0,135.0,1,balderdashy/sails,2012-03-18 19:46:15,3639,0.0807914262159934,0.0,0.008244023083264633,1.962901896125309,0.0,1.9711459192085736,451.0
pure-css/pure,0,1,0,1,0,1,1,1,0,22059,22059,2405,84,pure-css/pure,71.0,42833.0,24.0,11.0,719.0,0.0,562.0,562.0,0.0,367.0,367.0,5.0,82.0,436.0,97.0,105.0,113.0,105.0,113.0,0,pure-css/pure,2013-04-22 16:16:39,3239,0.021920345785736338,0.0033961099104661933,0.007409694350108058,0.2219820932386539,0.4583333333333333,0.6877251209220953,436.0
redux-saga/redux-saga,1,1,0,1,0,1,1,0,0,21957,21957,1986,85,redux-saga/redux-saga,353.0,0.0,30.0,0.0,1902.0,38.0,1392.0,1430.0,13.0,790.0,803.0,4.0,137.0,447.0,102.0,104.0,107.0,104.0,132.0,1,redux-saga/redux-saga,2015-11-29 16:58:12,2288,0.15428321678321677,0.0,0.013111888111888112,0.8312937062937062,0.0,0.8444055944055944,447.0
immerjs/immer,0,0,0,1,0,1,1,1,0,21681,21681,672,87,immerjs/immer,159.0,0.0,30.0,0.0,1242.0,21.0,531.0,552.0,14.0,348.0,362.0,23.0,177.0,409.0,94.0,103.0,91.0,103.0,112.0,0,immerjs/immer,2017-12-29 12:25:47,1527,0.10412573673870335,0.0,0.019646365422396856,0.8133595284872298,0.0,0.8330058939096266,409.0
Tencent/wepy,1,1,0,1,0,0,1,1,0,21625,21625,3047,88,Tencent/wepy,191.0,0.0,8.0,0.0,2381.0,346.0,1783.0,2129.0,34.0,609.0,643.0,0.0,137.0,453.0,104.0,102.0,124.0,102.0,125.0,1,Tencent/wepy,2016-11-14 08:06:56,1937,0.0986060918946825,0.0,0.004130098089829634,1.2292204439855448,0.0,1.2333505420753743,453.0
ramda/ramda,1,1,0,1,0,1,1,0,0,21444,21444,1366,89,ramda/ramda,344.0,0.0,26.0,0.0,2963.0,120.0,1428.0,1548.0,22.0,1662.0,1684.0,7.0,134.0,455.0,105.0,101.0,97.0,101.0,156.0,1,ramda/ramda,2013-06-21 20:32:35,3179,0.10821012897137465,0.0,0.00817867253853413,0.9320541050644857,0.0,0.9402327776030198,455.0
fastify/fastify,1,1,0,1,1,1,1,1,0,21343,21343,1577,90,fastify/fastify,497.0,0.0,30.0,0.0,3154.0,50.0,1303.0,1353.0,9.0,2236.0,2245.0,14.0,198.0,462.0,106.0,100.0,98.0,100.0,164.0,1,fastify/fastify,2016-09-28 19:10:14,1984,0.2505040322580645,0.0,0.015120967741935484,1.5897177419354838,0.0,1.6048387096774193,462.0
swagger-api/swagger-ui,1,1,0,1,1,0,1,1,0,21213,21213,8131,91,swagger-api/swagger-ui,527.0,0.0,30.0,0.0,5360.0,677.0,4064.0,4741.0,51.0,2978.0,3029.0,1.0,321.0,532.0,130.0,99.0,163.0,99.0,171.0,1,swagger-api/swagger-ui,2011-07-15 22:56:39,3886,0.13561502830674216,0.0,0.007720020586721565,1.3793103448275863,0.0,1.387030365414308,532.0
facebook/draft-js,0,1,0,1,0,1,1,1,0,21107,21107,2481,92,facebook/draft-js,338.0,0.0,26.0,0.0,1147.0,764.0,964.0,1728.0,166.0,1179.0,1345.0,4.0,30.0,462.0,106.0,98.0,115.0,98.0,151.0,1,facebook/draft-js,2016-02-19 20:18:26,2206,0.15321849501359927,0.0,0.011786038077969175,0.5199456029011786,0.0,0.5317316409791478,462.0
bevacqua/dragula,0,1,0,1,0,1,1,1,1,20997,20997,1961,93,bevacqua/dragula,44.0,0.0,0.0,0.0,366.0,98.0,406.0,504.0,51.0,134.0,185.0,2.0,85.0,397.0,92.0,97.0,106.0,97.0,97.0,0,bevacqua/dragula,2015-04-13 21:35:38,2518,0.017474185861795076,0.0,0.0,0.1453534551231136,-1,-0.8546465448768864,397.0
feathericons/feather,1,1,0,1,0,1,1,1,0,20975,20975,1007,94,feathericons/feather,40.0,0.0,30.0,0.0,634.0,339.0,221.0,560.0,113.0,450.0,563.0,1.0,72.0,408.0,93.0,96.0,94.0,96.0,122.0,0,feathericons/feather,2014-05-28 19:49:55,2838,0.014094432699083862,0.0,0.010570824524312896,0.22339675828047922,0.0,0.23396758280479213,408.0
mochajs/mocha,0,1,0,0,0,1,1,0,0,20949,20949,2903,95,mochajs/mocha,556.0,0.0,30.0,0.0,3558.0,225.0,2568.0,2793.0,38.0,1939.0,1977.0,7.0,37.0,470.0,111.0,95.0,121.0,95.0,159.0,1,mochajs/mocha,2011-03-07 18:44:25,4016,0.13844621513944222,0.0,0.007470119521912351,0.8859561752988048,0.0,0.8934262948207171,470.0
rollup/rollup,1,1,0,1,0,1,1,1,0,20928,20928,1079,96,rollup/rollup,317.0,0.0,30.0,0.0,4858.0,362.0,2392.0,2754.0,21.0,1645.0,1666.0,1.0,67.0,438.0,100.0,94.0,95.0,94.0,155.0,1,rollup/rollup,2015-05-14 22:26:28,2487,0.12746280659429032,0.0,0.012062726176115802,1.9533574587856857,0.0,1.9654201849618014,438.0
sampotts/plyr,1,1,0,1,0,1,1,1,0,20806,20806,2507,97,sampotts/plyr,185.0,0.0,30.0,0.0,2205.0,702.0,1143.0,1845.0,32.0,462.0,494.0,8.0,28.0,420.0,95.0,93.0,116.0,93.0,118.0,0,sampotts/plyr,2015-02-14 11:33:07,2576,0.07181677018633541,0.0,0.011645962732919254,0.8559782608695652,0.0,0.8676242236024845,420.0
