fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
abpframework/abp,0,1,0,1,0,1,1,1,0,7104,7104,2241,56,abpframework/abp,307.0,0.0,2.0,0.0,23180.0,542.0,6065.0,6607.0,51.0,5005.0,5056.0,1.0,43.0,abpframework/abp,2016-12-03 22:56:24,1952,0.0,0.1572745901639344,0.0,0.0010245901639344,11.875,0.0,11.876024590163935,1
Perfare/AssetStudio,1,1,0,1,0,0,1,0,0,7102,7102,1294,57,Perfare/AssetStudio,24.0,208861.0,22.0,29.0,556.0,68.0,803.0,871.0,4.0,58.0,62.0,0.0,36.0,Perfare/AssetStudio,2016-08-02 11:59:11,2075,100.65590361445784,0.0115662650602409,0.0139759036144578,0.0106024096385542,0.2679518072289156,1.318181818181818,1.5967360350492876,1
HangfireIO/Hangfire,1,1,0,1,0,1,1,1,0,7098,7098,1471,58,HangfireIO/Hangfire,154.0,614.0,30.0,30.0,3536.0,630.0,931.0,1561.0,53.0,397.0,450.0,1.0,124.0,HangfireIO/Hangfire,2013-08-06 09:43:04,3167,0.1938743290179981,0.0486264603725923,0.0094726870855699,0.0094726870855699,1.1165140511525102,1.0,2.12598673823808,1
JeffreySu/WeiXinMPSDK,1,0,0,1,0,0,0,1,0,7076,7076,4146,59,JeffreySu/WeiXinMPSDK,153.0,0.0,2.0,0.0,9388.0,159.0,707.0,866.0,3.0,1723.0,1726.0,0.0,581.0,JeffreySu/WeiXinMPSDK,2013-01-11 13:52:44,3374,0.0,0.0453467694131594,0.0,0.0005927682276229,2.782454060462359,0.0,2.783046828689982,1
carlospolop/PEASS-ng,0,1,0,1,0,1,0,1,0,7039,7039,1755,60,carlospolop/PEASS-ng,61.0,53984.0,29.0,396.0,1313.0,4.0,115.0,119.0,0.0,157.0,157.0,0.0,89.0,carlospolop/PEASS-ng,2019-01-13 19:58:24,1181,45.7104149026249,0.0516511430990685,0.3353090601185436,0.0245554614733276,1.1117696867061813,13.655172413793103,14.791497561972612,1
dotnet-architecture/eShopOnWeb,0,1,0,1,0,0,1,0,0,6879,6879,3348,61,dotnet-architecture/eShopOnWeb,69.0,0.0,2.0,0.0,533.0,2.0,286.0,288.0,7.0,392.0,399.0,0.0,48.0,dotnet-architecture/eShopOnWeb,2017-02-28 02:39:37,1865,0.0,0.0369973190348525,0.0,0.0010723860589812,0.2857908847184987,0.0,0.28686327077747986,1
duplicati/duplicati,1,1,0,1,1,1,1,1,0,6872,6872,699,62,duplicati/duplicati,196.0,6638.0,30.0,269.0,8117.0,815.0,2812.0,3627.0,14.0,1040.0,1054.0,3.0,43.0,duplicati/duplicati,2014-08-05 08:28:16,2803,2.3681769532643595,0.069925080271138,0.0959686050660007,0.0107028184088476,2.8958259008205496,8.966666666666667,11.873195385896064,1
microsoft/ailab,1,1,0,1,0,1,0,1,1,6861,6861,1281,63,microsoft/ailab,48.0,254.0,1.0,3.0,134.0,24.0,24.0,48.0,40.0,52.0,92.0,0.0,14.0,microsoft/ailab,2018-07-23 22:40:54,1355,0.1874538745387453,0.0354243542435424,0.0022140221402214,0.0007380073800738,0.0988929889298893,3.0,3.0996309963099633,1
Sonarr/Sonarr,1,1,0,1,0,1,1,1,0,6824,6824,963,64,Sonarr/Sonarr,206.0,0.0,2.0,0.0,9150.0,147.0,3908.0,4055.0,18.0,846.0,864.0,0.0,13.0,Sonarr/Sonarr,2011-09-27 05:57:16,3846,0.0,0.0535621424856994,0.0,0.000520020800832,2.3790951638065523,0.0,2.3796151846073843,1
nopSolutions/nopCommerce,0,1,0,1,0,1,1,1,0,6791,6791,3866,66,nopSolutions/nopCommerce,163.0,28858.0,30.0,153.0,13555.0,194.0,5259.0,5453.0,49.0,662.0,711.0,0.0,37.0,nopSolutions/nopCommerce,2014-04-09 05:47:50,2921,9.87949332420404,0.0558028072577884,0.0523793221499486,0.0102704553235193,4.640534063676823,5.1,9.750804519000342,1
xupefei/Locale-Emulator,0,1,0,1,0,1,0,0,0,6774,6774,600,67,xupefei/Locale-Emulator,33.0,4918775.0,30.0,28.0,386.0,0.0,0.0,0.0,2.0,50.0,52.0,0.0,27.0,xupefei/Locale-Emulator,2013-03-17 13:51:51,3309,1486.4838319734058,0.0099728014505893,0.0084617709277727,0.0090661831368993,0.1166515563614385,0.9333333333333332,1.059051072831671,1
reactiveui/ReactiveUI,0,1,0,0,0,1,1,1,0,6686,6686,1055,68,reactiveui/ReactiveUI,201.0,0.0,2.0,0.0,4827.0,66.0,1102.0,1168.0,11.0,1893.0,1904.0,1.0,91.0,reactiveui/ReactiveUI,2010-06-11 05:24:29,4319,0.0,0.0465385505904144,0.0,0.0004630701551285,1.1176198194026394,0.0,1.118082889557768,1
MathewSachin/Captura,1,1,0,1,0,1,0,0,0,6653,6653,1240,69,MathewSachin/Captura,51.0,378582.0,27.0,43.0,1121.0,109.0,181.0,290.0,5.0,229.0,234.0,0.0,40.0,MathewSachin/Captura,2015-08-29 10:30:45,2414,156.82767191383596,0.0211267605633802,0.0178127589063794,0.0111847555923777,0.4643744821872411,1.5925925925925926,2.0681518303722113,1
ThreeMammals/Ocelot,0,1,0,1,0,0,1,1,0,6648,6648,1398,70,ThreeMammals/Ocelot,140.0,559.0,30.0,319.0,1276.0,486.0,527.0,1013.0,82.0,470.0,552.0,45.0,131.0,ThreeMammals/Ocelot,2016-06-29 20:35:24,2109,0.2650545282124229,0.0663821716453295,0.1512565196775723,0.0142247510668563,0.6050260787102892,10.633333333333333,11.252584163110479,1
