fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
apache/skywalking,0,1,0,1,0,1,1,0,0,18240,18240,5372,54,apache/skywalking,447.0,2042.0,30.0,12.0,6944.0,50.0,4045.0,4095.0,0.0,3930.0,3930.0,0.0,442.0,apache/skywalking,2015-11-07 03:30:36,2344,0.871160409556314,0.1906996587030716,0.0051194539249146,0.0127986348122866,2.962457337883959,0.4,3.3752559726962454,0
square/picasso,0,1,0,1,0,1,0,0,0,18173,18173,4020,55,square/picasso,133.0,0.0,7.0,0.0,1482.0,192.0,1356.0,1548.0,24.0,697.0,721.0,1.0,19.0,square/picasso,2013-05-14 15:07:47,3251,0.0,0.0409104890802829,0.0,0.0021531836358043,0.4558597354660104,0.0,0.4580129191018147,0
jenkinsci/jenkins,0,1,0,1,1,1,1,1,0,18168,18168,7119,56,jenkinsci/jenkins,1039.0,854.0,30.0,128.0,32153.0,0.0,0.0,0.0,70.0,6192.0,6262.0,0.0,37.0,jenkinsci/jenkins,2010-11-22 21:21:23,4155,0.2055354993983152,0.2500601684717208,0.0308062575210589,0.0072202166064981,7.738387484957882,4.266666666666667,12.012274368231047,0
Baseflow/PhotoView,0,1,0,1,0,1,1,0,0,18041,18041,3854,57,Baseflow/PhotoView,48.0,0.0,5.0,0.0,462.0,180.0,475.0,655.0,14.0,137.0,151.0,0.0,47.0,Baseflow/PhotoView,2012-07-17 16:39:00,3552,0.0,0.0135135135135135,0.0,0.0014076576576576,0.1300675675675675,0.0,0.1314752252252251,1
alibaba/Sentinel,1,1,0,1,0,1,1,1,1,17967,17967,6320,58,alibaba/Sentinel,163.0,250270.0,19.0,22.0,733.0,370.0,1363.0,1733.0,122.0,666.0,788.0,1.0,41.0,alibaba/Sentinel,2018-04-04 06:37:33,1465,170.83276450511946,0.1112627986348122,0.0150170648464163,0.0129692832764505,0.5003412969283276,1.1578947368421053,1.6712053170468835,0
redisson/redisson,1,1,0,1,0,0,1,0,0,17895,17895,4340,59,redisson/redisson,156.0,0.0,30.0,0.0,7150.0,247.0,3456.0,3703.0,27.0,428.0,455.0,0.0,462.0,redisson/redisson,2014-01-11 14:06:25,3009,0.0,0.0518444666001994,0.0,0.0099700897308075,2.376204719175806,0.0,2.3861748089066137,0
bazelbuild/bazel,0,1,0,0,0,0,1,1,0,17719,17719,3185,60,bazelbuild/bazel,902.0,3257.0,30.0,900.0,32044.0,2280.0,7250.0,9530.0,185.0,4696.0,4881.0,3.0,48.0,bazelbuild/bazel,2014-06-12 16:00:38,2857,1.1400070003500176,0.3157157857892894,0.3150157507875393,0.0105005250262513,11.215960798039902,30.0,41.226461323066154,0
CarGuo/GSYVideoPlayer,1,1,0,0,1,1,1,0,0,16907,16907,3724,62,CarGuo/GSYVideoPlayer,20.0,42636.0,30.0,30.0,1404.0,14.0,3281.0,3295.0,0.0,46.0,46.0,1.0,424.0,CarGuo/GSYVideoPlayer,2016-11-13 12:34:31,1972,21.620689655172413,0.0101419878296146,0.0152129817444219,0.0152129817444219,0.7119675456389453,1.0,1.7271805273833671,0
facebook/fresco,0,1,0,1,0,1,1,0,0,16706,16706,3764,65,facebook/fresco,384.0,1332.0,30.0,10.0,3144.0,164.0,2058.0,2222.0,12.0,392.0,404.0,0.0,62.0,facebook/fresco,2015-03-02 09:58:04,2594,0.5134926754047803,0.1480339244410177,0.0038550501156515,0.0115651503469545,1.2120277563608326,0.3333333333333333,1.5569262400411203,0
linlinjava/litemall,1,1,0,0,1,1,1,0,0,16579,16579,6585,66,linlinjava/litemall,66.0,0.0,8.0,0.0,1151.0,24.0,312.0,336.0,3.0,160.0,163.0,0.0,68.0,linlinjava/litemall,2018-03-22 16:42:30,1478,0.0,0.0446549391069012,0.0,0.0054127198917456,0.7787550744248986,0.0,0.7841677943166442,0
